scale_factor,line_angle,original_ocr_text,original_accuracy,processed_ocr_text,processed_accuracy,line_period,duty_cycle
0.5,30,,0.0,ABCDEFGHISJKLMNOPQRSTUVWXYZ,0.9615384615384616,10,0.05
0.5,30,,0.0,ABCDEFGHISJKLMNOPQRSTUVWXYZ,0.9615384615384616,10,0.1
0.5,30,,0.0,ABCDEFGHISJKLMNOPQRSTUVWXYZ,0.9615384615384616,10,0.15
0.5,30,,0.0,,0.0,10,0.2
0.5,30,,0.0,,0.0,10,0.25
0.5,30,,0.0,,0.0,10,0.3
0.5,30,,0.0,,0.0,10,0.35
0.5,30,,0.0,,0.0,10,0.4
0.5,30,,0.0,,0.0,10,0.45
0.5,30,,0.0,,0.0,10,0.5
0.5,30,,0.0,,0.0,10,0.55
0.5,30,,0.0,,0.0,10,0.6
0.5,30,,0.0,,0.0,10,0.65
0.5,30,,0.0,,0.0,10,0.7
0.5,30,"J

A = ‘ "" ™ =
EFGHIJKLMNOPORSTUVWXYZ_",0.3846153846153846,ABCDEFGHISJKLMNOPQRSTUVWXYZ,0.9615384615384616,20,0.05
0.5,30,"KIST » ~
SKEMNORORSTOUVWX 7",0.3846153846153846,,0.0,20,0.1
0.5,30,"KO S ji RS
SPAIN ROR SAAD iF~",0.0,,0.0,20,0.15
0.5,30,"SAN
CEVENOR
TRORS WA
NAAR
KY?",0.038461538461538436,,0.0,20,0.2
0.5,30,"val TWD /
SRA ORS RSA",0.11538461538461542,,0.0,20,0.25
0.5,30,"x WOR INESYAWLS
SERRE GRR SSSA",0.0,,0.0,20,0.3
0.5,30,,0.0,,0.0,20,0.35
0.5,30,,0.0,,0.0,20,0.4
0.5,30,,0.0,,0.0,20,0.45
0.5,30,,0.0,,0.0,20,0.5
0.5,30,,0.0,,0.0,20,0.55
0.5,30,,0.0,,0.0,20,0.6
0.5,30,,0.0,,0.0,20,0.65
0.5,30,,0.0,,0.0,20,0.7
0.5,30,,0.0,ABCDEFGHISJKLMNOPQRSTUVWXYZ,0.9615384615384616,30,0.05
0.5,30,,0.0,,0.0,30,0.1
0.5,30,,0.0,,0.0,30,0.15
0.5,30,,0.0,,0.0,30,0.2
0.5,30,,0.0,,0.0,30,0.25
0.5,30,,0.0,,0.0,30,0.3
0.5,30,,0.0,,0.0,30,0.35
0.5,30,,0.0,,0.0,30,0.4
0.5,30,,0.0,,0.0,30,0.45
0.5,30,"y we “Sy, a

DANII DOONEY SSN
ENTER GIS ORIEN",0.0,,0.0,30,0.5
