scale_factor,line_orientation,line_angle,original_ocr_text,original_accuracy,processed_ocr_text,processed_accuracy,line_period,duty_cycle
0.5,h,0,,0.0,,0.0,2,0.05
0.5,h,0,,0.0,,0.0,2,0.1
0.5,h,0,,0.0,,0.0,2,0.15
0.5,h,0,,0.0,,0.0,2,0.2
0.5,h,0,,0.0,,0.0,2,0.25
0.5,h,0,,0.0,,0.0,2,0.3
0.5,h,0,,0.0,,0.0,2,0.35
0.5,h,0,,0.0,,0.0,2,0.4
0.5,h,0,,0.0,,0.0,2,0.45
0.5,h,0,,0.0,,0.0,2,0.5
0.5,h,0,,0.0,,0.0,2,0.55
0.5,h,0,,0.0,,0.0,2,0.6
0.5,h,0,,0.0,,0.0,2,0.65
0.5,h,0,,0.0,,0.0,2,0.7
0.5,h,0,,0.0,,0.0,4,0.05
0.5,h,0,,0.0,,0.0,4,0.1
0.5,h,0,,0.0,,0.0,4,0.15
0.5,h,0,,0.0,,0.0,4,0.2
0.5,h,0,,0.0,,0.0,4,0.25
0.5,h,0,,0.0,,0.0,4,0.3
0.5,h,0,,0.0,,0.0,4,0.35
0.5,h,0,,0.0,,0.0,4,0.4
0.5,h,0,,0.0,,0.0,4,0.45
0.5,h,0,,0.0,,0.0,4,0.5
0.5,h,0,,0.0,,0.0,4,0.55
0.5,h,0,,0.0,,0.0,4,0.6
0.5,h,0,,0.0,,0.0,4,0.65
0.5,h,0,,0.0,,0.0,4,0.7
0.5,h,0,,0.0,,0.0,6,0.05
0.5,h,0,,0.0,,0.0,6,0.1
0.5,h,0,,0.0,,0.0,6,0.15
0.5,h,0,,0.0,,0.0,6,0.2
0.5,h,0,,0.0,,0.0,6,0.25
0.5,h,0,,0.0,,0.0,6,0.3
0.5,h,0,,0.0,,0.0,6,0.35
0.5,h,0,,0.0,,0.0,6,0.4
0.5,h,0,,0.0,,0.0,6,0.45
0.5,h,0,,0.0,,0.0,6,0.5
0.5,h,0,,0.0,,0.0,6,0.55
0.5,h,0,,0.0,,0.0,6,0.6
0.5,h,0,,0.0,,0.0,6,0.65
0.5,h,0,,0.0,,0.0,6,0.7
0.5,h,0,,0.0,,0.0,8,0.05
0.5,h,0,,0.0,,0.0,8,0.1
0.5,h,0,,0.0,,0.0,8,0.15
0.5,h,0,,0.0,,0.0,8,0.2
0.5,h,0,,0.0,,0.0,8,0.25
0.5,h,0,,0.0,,0.0,8,0.3
0.5,h,0,,0.0,,0.0,8,0.35
0.5,h,0,,0.0,,0.0,8,0.4
0.5,h,0,,0.0,,0.0,8,0.45
0.5,h,0,,0.0,,0.0,8,0.5
0.5,h,0,,0.0,,0.0,8,0.55
0.5,h,0,,0.0,,0.0,8,0.6
0.5,h,0,,0.0,,0.0,8,0.65
0.5,h,0,,0.0,,0.0,8,0.7
