angle,miss,count
90.0,replace: 6 -> 5,37
90.0,replace: 5 -> 6,25
90.0,replace: 8 -> 3,25
90.0,replace: 8 -> 6,23
90.0,replace: 1 -> 0,19
90.0,replace: 3 -> 8,18
90.0,replace: 5 -> 3,17
90.0,replace: 9 -> 3,17
90.0,replace: 6 -> 3,13
90.0,replace: 8 -> 5,12
