participant_id,time,scale,period,line_width,angle,font_size,stripe_color,text,input_text,accuracy,TorF
408,5018.0,75cm,7.0,1.0,45.0,16.0,128.0,9487,9487,1.0,T
408,5292.0,75cm,8.0,3.0,135.0,16.0,128.0,7414,7414,1.0,T
408,3892.0,75cm,6.0,1.0,90.0,16.0,128.0,5328,5328,1.0,T
408,4728.0,75cm,5.0,2.0,135.0,16.0,128.0,6116,5118,0.5,F
408,9048.0,75cm,8.0,2.0,135.0,16.0,128.0,9924,8924,0.75,F
408,5941.0,75cm,6.0,3.0,90.0,16.0,128.0,2310,2317,0.75,F
408,3466.0,75cm,5.0,2.0,90.0,16.0,128.0,4572,4572,1.0,T
408,5065.0,75cm,8.0,2.0,45.0,16.0,128.0,3970,3970,1.0,T
408,10262.0,75cm,0.0,0.0,0.0,16.0,128.0,5846,5846,1.0,T
408,8844.0,75cm,8.0,3.0,45.0,16.0,128.0,3561,3561,1.0,T
408,4254.0,75cm,8.0,4.0,90.0,16.0,128.0,3909,3309,0.75,F
408,11278.0,75cm,7.0,3.0,45.0,16.0,128.0,5873,73,0.5,F
408,9474.0,75cm,6.0,2.0,90.0,16.0,128.0,5707,5707,1.0,T
408,4075.0,75cm,7.0,3.0,90.0,16.0,128.0,2299,2293,0.75,F
408,4501.0,75cm,0.0,0.0,0.0,16.0,128.0,3275,3275,1.0,T
408,3828.0,75cm,5.0,1.0,135.0,16.0,128.0,4503,4503,1.0,T
408,3961.0,75cm,7.0,3.0,135.0,16.0,128.0,4541,4541,1.0,T
408,4749.0,75cm,5.0,3.0,135.0,16.0,128.0,7476,1428,0.25,F
408,4774.0,75cm,7.0,2.0,135.0,16.0,128.0,8209,8209,1.0,T
408,3566.0,75cm,5.0,1.0,90.0,16.0,128.0,4762,4762,1.0,T
408,3140.0,75cm,7.0,2.0,45.0,16.0,128.0,7824,7824,1.0,T
408,4728.0,75cm,3.0,2.0,90.0,16.0,128.0,9985,9905,0.75,F
408,5900.0,75cm,4.0,2.0,135.0,16.0,128.0,7174,7114,0.75,F
408,8439.0,75cm,4.0,2.0,90.0,16.0,128.0,4217,4217,1.0,T
408,4097.0,75cm,4.0,1.0,90.0,16.0,128.0,8072,8072,1.0,T
408,6260.0,75cm,7.0,2.0,90.0,16.0,128.0,9174,9174,1.0,T
408,7201.0,75cm,4.0,3.0,90.0,16.0,128.0,5840,5840,1.0,T
408,3038.0,75cm,0.0,0.0,0.0,16.0,128.0,5460,5460,1.0,T
408,4166.0,75cm,6.0,2.0,135.0,16.0,128.0,4252,4252,1.0,T
408,4167.0,75cm,8.0,2.0,90.0,16.0,128.0,7643,7643,1.0,T
408,8843.0,75cm,6.0,3.0,135.0,16.0,128.0,4523,4573,0.75,F
408,7314.0,75cm,5.0,3.0,90.0,16.0,128.0,3824,3824,1.0,T
408,8486.0,75cm,7.0,1.0,135.0,16.0,128.0,6932,6932,1.0,T
