participant_id,time,scale,period,line_width,angle,font_size,stripe_color,text,input_text,accuracy,TorF
305,3849.0,50cm,7.0,2.0,90.0,16.0,128.0,9867,9857,0.75,F
305,4337.0,50cm,8.0,2.0,135.0,16.0,128.0,3673,3673,1.0,T
305,3445.0,50cm,0.0,0.0,0.0,16.0,128.0,7081,7081,1.0,T
305,7022.0,50cm,7.0,3.0,135.0,16.0,128.0,9506,9506,1.0,T
305,2544.0,50cm,0.0,0.0,0.0,16.0,128.0,5050,5050,1.0,T
305,2770.0,50cm,3.0,2.0,90.0,16.0,128.0,6579,6679,0.75,F
305,2411.0,50cm,7.0,1.0,135.0,16.0,128.0,1154,1154,1.0,T
305,2363.0,50cm,7.0,2.0,135.0,16.0,128.0,6699,6699,1.0,T
305,4591.0,50cm,4.0,1.0,90.0,16.0,128.0,8317,8317,1.0,T
305,3197.0,50cm,4.0,3.0,90.0,16.0,128.0,7298,7298,1.0,T
305,3266.0,50cm,5.0,2.0,90.0,16.0,128.0,2302,2302,1.0,T
305,3350.0,50cm,6.0,2.0,90.0,16.0,128.0,6729,6729,1.0,T
305,2723.0,50cm,8.0,1.0,45.0,16.0,128.0,2480,2480,1.0,T
305,2701.0,50cm,5.0,1.0,135.0,16.0,128.0,7790,7790,1.0,T
305,3534.0,50cm,5.0,3.0,135.0,16.0,128.0,8781,8723,0.5,F
305,2882.0,50cm,0.0,0.0,0.0,16.0,128.0,5986,5986,1.0,T
305,3241.0,50cm,8.0,1.0,135.0,16.0,128.0,4684,4684,1.0,T
305,8961.0,50cm,7.0,4.0,90.0,16.0,128.0,1314,1314,1.0,T
305,2608.0,50cm,7.0,3.0,90.0,16.0,128.0,4474,4474,1.0,T
305,4524.0,50cm,6.0,2.0,135.0,16.0,128.0,5451,5453,0.75,F
305,4324.0,50cm,7.0,1.0,90.0,16.0,128.0,9748,9748,1.0,T
305,3328.0,50cm,4.0,2.0,135.0,16.0,128.0,6778,6778,1.0,T
305,3509.0,50cm,6.0,1.0,90.0,16.0,128.0,2162,2162,1.0,T
305,3084.0,50cm,5.0,2.0,135.0,16.0,128.0,2521,2523,0.75,F
305,4725.0,50cm,8.0,2.0,90.0,16.0,128.0,8738,8738,1.0,T
305,3963.0,50cm,4.0,2.0,90.0,16.0,128.0,7628,7628,1.0,T
305,3646.0,50cm,8.0,3.0,135.0,16.0,128.0,4184,4284,0.75,F
305,5154.0,50cm,7.0,2.0,45.0,16.0,128.0,2857,2857,1.0,T
305,3017.0,50cm,7.0,3.0,45.0,16.0,128.0,4249,4249,1.0,T
305,3992.0,50cm,6.0,1.0,135.0,16.0,128.0,9432,9432,1.0,T
305,3572.0,50cm,6.0,3.0,90.0,16.0,128.0,4162,4062,0.75,F
305,5988.0,50cm,8.0,2.0,45.0,16.0,128.0,9700,9709,0.75,F
305,3040.0,50cm,7.0,1.0,45.0,16.0,128.0,2464,2464,1.0,T
305,3109.0,50cm,8.0,3.0,45.0,16.0,128.0,4627,4627,1.0,T
305,2720.0,50cm,5.0,1.0,90.0,16.0,128.0,6990,6990,1.0,T
305,4229.0,50cm,8.0,3.0,90.0,16.0,128.0,7178,7178,1.0,T
305,2522.0,50cm,6.0,2.0,45.0,16.0,128.0,8775,8775,1.0,T
305,3264.0,50cm,5.0,3.0,90.0,16.0,128.0,8749,8749,1.0,T
305,2094.0,50cm,6.0,3.0,135.0,16.0,128.0,7111,7333,0.25,F
305,3307.0,50cm,8.0,4.0,90.0,16.0,128.0,5464,5464,1.0,T
305,4004.0,100cm,8.0,3.0,45.0,16.0,128.0,3222,2369,0.0,F
305,4774.0,100cm,7.0,3.0,45.0,16.0,128.0,8778,3775,0.5,F
305,4772.0,100cm,8.0,2.0,45.0,16.0,128.0,8401,8434,0.5,F
305,2551.0,100cm,3.0,2.0,90.0,16.0,128.0,1124,1124,1.0,T
305,3222.0,100cm,7.0,3.0,90.0,16.0,128.0,5677,3672,0.5,F
305,4737.0,100cm,5.0,3.0,90.0,16.0,128.0,3784,3739,0.5,F
305,3693.0,100cm,6.0,2.0,45.0,16.0,128.0,8974,4574,0.5,F
305,4232.0,100cm,5.0,2.0,90.0,16.0,128.0,5873,3873,0.75,F
305,4254.0,100cm,8.0,1.0,45.0,16.0,128.0,5059,5969,0.5,F
305,8912.0,100cm,7.0,2.0,45.0,16.0,128.0,6056,6556,0.75,F
305,3219.0,100cm,5.0,1.0,90.0,16.0,128.0,5424,5424,1.0,T
