participant_id,time,scale,period,line_width,angle,font_size,stripe_color,text,input_text,accuracy,TorF
413,2450.0,intended,7.0,3.0,135.0,16.0,128.0,2857,2857,1.0,T
413,2905.0,intended,1.0,0.0,0.0,16.0,128.0,8401,8401,1.0,T
413,2206.0,intended,8.0,3.0,45.0,16.0,128.0,2173,2173,1.0,T
413,1958.0,intended,3.0,2.0,90.0,16.0,128.0,4242,4242,1.0,T
413,1643.0,intended,8.0,3.0,135.0,16.0,128.0,2342,2342,1.0,T
413,1958.0,intended,6.0,2.0,90.0,16.0,128.0,7935,7935,1.0,T
413,1666.0,intended,5.0,1.0,135.0,16.0,128.0,1852,1852,1.0,T
413,1889.0,intended,6.0,3.0,135.0,16.0,128.0,5348,5348,1.0,T
413,1758.0,intended,6.0,3.0,45.0,16.0,128.0,5559,5559,1.0,T
413,2452.0,intended,5.0,3.0,90.0,16.0,128.0,1990,1990,1.0,T
413,1826.0,intended,1.0,0.0,0.0,16.0,128.0,5268,5268,1.0,T
413,1800.0,intended,8.0,3.0,90.0,16.0,128.0,5992,5992,1.0,T
413,1554.0,intended,8.0,2.0,135.0,16.0,128.0,2264,2264,1.0,T
413,1756.0,intended,6.0,2.0,135.0,16.0,128.0,1634,1634,1.0,T
413,2028.0,intended,7.0,3.0,90.0,16.0,128.0,9639,9639,1.0,T
413,1507.0,intended,8.0,1.0,45.0,16.0,128.0,2123,2123,1.0,T
413,2295.0,intended,8.0,4.0,90.0,16.0,128.0,8524,8524,1.0,T
413,2048.0,intended,4.0,1.0,90.0,16.0,128.0,3940,3940,1.0,T
413,1869.0,intended,7.0,2.0,45.0,16.0,128.0,9879,9879,1.0,T
413,2725.0,intended,7.0,3.0,45.0,16.0,128.0,8180,8180,1.0,T
413,1776.0,intended,8.0,1.0,135.0,16.0,128.0,4867,4867,1.0,T
413,2342.0,intended,5.0,3.0,135.0,16.0,128.0,3718,3728,0.75,F
413,2656.0,intended,6.0,1.0,90.0,16.0,128.0,5741,5741,1.0,T
413,3849.0,intended,7.0,4.0,90.0,16.0,128.0,1339,1389,0.75,F
413,1751.0,intended,7.0,2.0,90.0,16.0,128.0,1168,1168,1.0,T
413,2634.0,intended,6.0,2.0,45.0,16.0,128.0,7833,7833,1.0,T
413,1755.0,intended,4.0,3.0,90.0,16.0,128.0,6494,3494,0.75,F
413,3039.0,intended,4.0,2.0,135.0,16.0,128.0,7970,7970,1.0,T
413,2048.0,intended,7.0,2.0,135.0,16.0,128.0,3670,3670,1.0,T
413,1730.0,intended,5.0,1.0,90.0,16.0,128.0,6954,6954,1.0,T
413,2522.0,intended,1.0,0.0,0.0,16.0,128.0,4919,4919,1.0,T
413,1755.0,intended,7.0,1.0,135.0,16.0,128.0,9283,9283,1.0,T
413,1803.0,intended,6.0,1.0,45.0,16.0,128.0,9127,9127,1.0,T
413,1841.0,intended,5.0,2.0,135.0,16.0,128.0,4652,4652,1.0,T
413,3129.0,intended,6.0,3.0,90.0,16.0,128.0,5651,5650,0.75,F
413,1869.0,intended,4.0,2.0,90.0,16.0,128.0,3887,3887,1.0,T
413,1734.0,intended,8.0,2.0,45.0,16.0,128.0,8951,8951,1.0,T
413,1689.0,intended,7.0,1.0,45.0,16.0,128.0,8313,8313,1.0,T
413,2950.0,intended,5.0,2.0,90.0,16.0,128.0,8151,8151,1.0,T
413,1666.0,intended,6.0,1.0,135.0,16.0,128.0,7855,7855,1.0,T
413,1803.0,intended,7.0,1.0,90.0,16.0,128.0,4122,4122,1.0,T
413,1503.0,intended,8.0,2.0,90.0,16.0,128.0,2437,2437,1.0,T
413,3596.0,75cm,6.0,3.0,45.0,16.0,128.0,2617,3617,0.75,F
413,3352.0,75cm,4.0,1.0,90.0,16.0,128.0,3797,3797,1.0,T
413,3829.0,75cm,5.0,3.0,90.0,16.0,128.0,3223,3228,0.75,F
413,2270.0,75cm,4.0,2.0,135.0,16.0,128.0,8840,3840,0.75,F
413,2071.0,75cm,5.0,1.0,135.0,16.0,128.0,8398,8398,1.0,T
413,1460.0,75cm,7.0,1.0,45.0,16.0,128.0,8887,8887,1.0,T
413,5445.0,75cm,7.0,4.0,90.0,16.0,128.0,6501,4630,0.25,F
413,2251.0,75cm,6.0,2.0,45.0,16.0,128.0,5221,5221,1.0,T
413,2500.0,75cm,5.0,2.0,90.0,16.0,128.0,2661,2661,1.0,T
413,2522.0,75cm,8.0,3.0,45.0,16.0,128.0,3912,3912,1.0,T
413,2206.0,75cm,6.0,2.0,90.0,16.0,128.0,3075,3075,1.0,T
413,2768.0,75cm,6.0,2.0,135.0,16.0,128.0,3304,3304,1.0,T
413,1978.0,75cm,7.0,3.0,90.0,16.0,128.0,3824,3824,1.0,T
413,1643.0,75cm,6.0,1.0,45.0,16.0,128.0,1816,1816,1.0,T
413,1937.0,75cm,8.0,2.0,45.0,16.0,128.0,1376,1376,1.0,T
413,1667.0,75cm,7.0,1.0,135.0,16.0,128.0,8420,8420,1.0,T
413,2179.0,75cm,7.0,1.0,90.0,16.0,128.0,4728,4728,1.0,T
413,1638.0,75cm,7.0,2.0,135.0,16.0,128.0,1485,1485,1.0,T
413,2281.0,75cm,6.0,1.0,90.0,16.0,128.0,3625,3625,1.0,T
413,2904.0,75cm,8.0,3.0,90.0,16.0,128.0,5243,5243,1.0,T
413,1958.0,75cm,8.0,2.0,90.0,16.0,128.0,5065,5065,1.0,T
413,2859.0,75cm,7.0,2.0,90.0,16.0,128.0,5938,5936,0.75,F
413,2184.0,75cm,5.0,1.0,90.0,16.0,128.0,6573,6573,1.0,T
413,2542.0,75cm,8.0,3.0,135.0,16.0,128.0,8336,8336,1.0,T
413,2501.0,75cm,1.0,0.0,0.0,16.0,128.0,4986,4986,1.0,T
413,3486.0,75cm,8.0,4.0,90.0,16.0,128.0,4331,4633,0.5,F
