participant_id,time,scale,period,line_width,angle,font_size,stripe_color,text,input_text,accuracy,TorF
405,3017.0,intended,8.0,3.0,135.0,16.0,128.0,3279,3279,1.0,T
405,3264.0,intended,6.0,1.0,90.0,16.0,128.0,7252,7252,1.0,T
405,2882.0,intended,7.0,1.0,90.0,16.0,128.0,4392,4392,1.0,T
405,2143.0,intended,5.0,2.0,90.0,16.0,128.0,2024,2024,1.0,T
405,2856.0,intended,8.0,2.0,135.0,16.0,128.0,5187,5187,1.0,T
405,2026.0,intended,8.0,2.0,45.0,16.0,128.0,1206,1206,1.0,T
405,2638.0,intended,5.0,3.0,90.0,16.0,128.0,2281,2281,1.0,T
405,3193.0,intended,4.0,2.0,90.0,16.0,128.0,2296,2296,1.0,T
405,3513.0,intended,3.0,2.0,90.0,16.0,128.0,9247,9247,1.0,T
405,3040.0,intended,7.0,3.0,135.0,16.0,128.0,9440,9440,1.0,T
405,2281.0,intended,7.0,1.0,45.0,16.0,128.0,7461,7461,1.0,T
405,2290.0,intended,4.0,2.0,135.0,16.0,128.0,7118,7118,1.0,T
405,2189.0,intended,6.0,2.0,135.0,16.0,128.0,5635,5635,1.0,T
405,2651.0,intended,5.0,3.0,135.0,16.0,128.0,5561,5561,1.0,T
405,2963.0,intended,5.0,2.0,135.0,16.0,128.0,3812,3812,1.0,T
405,2207.0,intended,7.0,2.0,45.0,16.0,128.0,1732,1732,1.0,T
405,2656.0,intended,6.0,2.0,45.0,16.0,128.0,7984,7984,1.0,T
405,2825.0,intended,8.0,3.0,90.0,16.0,128.0,5744,5744,1.0,T
405,2589.0,intended,8.0,3.0,45.0,16.0,128.0,3645,3645,1.0,T
405,2973.0,intended,7.0,3.0,90.0,16.0,128.0,3817,3817,1.0,T
405,2543.0,intended,6.0,3.0,90.0,16.0,128.0,6212,6212,1.0,T
405,2388.0,intended,6.0,2.0,90.0,16.0,128.0,1971,1971,1.0,T
405,2477.0,intended,7.0,2.0,135.0,16.0,128.0,8185,8185,1.0,T
405,2726.0,intended,0.0,0.0,0.0,16.0,128.0,8984,8984,1.0,T
405,2385.0,intended,6.0,1.0,135.0,16.0,128.0,3944,3944,1.0,T
405,1736.0,intended,8.0,1.0,135.0,16.0,128.0,1225,1225,1.0,T
405,2162.0,intended,0.0,0.0,0.0,16.0,128.0,3139,3139,1.0,T
405,2370.0,intended,7.0,2.0,90.0,16.0,128.0,5764,5764,1.0,T
405,2829.0,intended,8.0,1.0,45.0,16.0,128.0,8559,8559,1.0,T
