participant_id,time,scale,period,angle,font_size,stripe_color,text,input_text
1022,3869.0,50cm,5.0,135.0,16.0,128.0,8354,3702
1022,3061.0,50cm,5.0,90.0,16.0,128.0,1064,8567
1022,3173.0,50cm,6.0,135.0,16.0,128.0,8099,6193
1022,4435.0,50cm,6.0,45.0,16.0,128.0,3835,6382
1022,2546.0,50cm,4.0,90.0,16.0,128.0,3326,5588
1022,4118.0,50cm,7.0,135.0,16.0,128.0,4465,1675
1022,3015.0,50cm,5.0,135.0,16.0,128.0,4276,8342
1022,5447.0,50cm,8.0,90.0,16.0,128.0,7252,3
1022,7629.0,50cm,8.0,45.0,16.0,128.0,3404,5857
1022,3962.0,50cm,6.0,90.0,16.0,128.0,5263,9787
1022,2633.0,50cm,4.0,0.0,16.0,128.0,8590,1334
1022,2232.0,50cm,4.0,135.0,16.0,128.0,6296,
1022,2011.0,50cm,4.0,0.0,16.0,128.0,9730,1256
1022,2815.0,50cm,8.0,135.0,16.0,128.0,8555,8924
1022,2207.0,50cm,7.0,45.0,16.0,128.0,6794,7727
1022,3422.0,50cm,7.0,45.0,16.0,128.0,3989,7590
1022,3535.0,50cm,6.0,90.0,16.0,128.0,7116,6003
1022,3130.0,50cm,8.0,135.0,16.0,128.0,8803,5075
1022,3285.0,50cm,7.0,45.0,16.0,128.0,6905,2281
1022,2097.0,50cm,6.0,135.0,16.0,128.0,7861,4435
1022,3333.0,50cm,8.0,90.0,16.0,128.0,4751,4644
1022,2274.0,50cm,5.0,135.0,16.0,128.0,6637,5509
1022,3533.0,50cm,7.0,135.0,16.0,128.0,5604,4665
1022,2274.0,50cm,6.0,135.0,16.0,128.0,8254,1453
1022,1668.0,50cm,6.0,90.0,16.0,128.0,8603,73
1022,2482.0,50cm,7.0,135.0,16.0,128.0,4875,2729
1022,2411.0,50cm,5.0,90.0,16.0,128.0,8033,
1022,3787.0,50cm,6.0,45.0,16.0,128.0,5633,5219
1022,1803.0,50cm,8.0,45.0,16.0,128.0,7833,7979
1022,2116.0,50cm,5.0,90.0,16.0,128.0,3703,7390
1022,3894.0,50cm,7.0,90.0,16.0,128.0,4000,3
1022,7053.0,50cm,8.0,45.0,16.0,128.0,8128,8072
1022,4839.0,50cm,8.0,90.0,16.0,128.0,8403,3236
1022,1868.0,50cm,4.0,90.0,16.0,128.0,5300,3042
1022,4573.0,50cm,4.0,0.0,16.0,128.0,2365,2638
1022,1775.0,50cm,6.0,45.0,16.0,128.0,1725,6026
1022,1791.0,50cm,7.0,90.0,16.0,128.0,9847,7312
1022,3544.0,50cm,7.0,90.0,16.0,128.0,6513,8048
1022,1692.0,50cm,3.0,90.0,16.0,128.0,8026,
1022,1560.0,50cm,8.0,135.0,16.0,128.0,5680,1144
1022,2071.0,50cm,7.0,90.0,16.0,128.0,4572,2075
