participant_id,time,scale,period,line_width,angle,font_size,stripe_color,text,input_text
421,3401.0,75cm,4.0,1.0,90.0,16.0,128.0,3003,3063
421,3492.0,75cm,3.0,2.0,90.0,16.0,128.0,8713,3715
421,2592.0,75cm,8.0,1.0,135.0,16.0,128.0,5530,5530
421,3470.0,75cm,8.0,3.0,45.0,16.0,128.0,9986,5986
421,6530.0,75cm,5.0,1.0,90.0,16.0,128.0,1334,1334
421,3198.0,75cm,7.0,3.0,45.0,16.0,128.0,1206,1286
421,3403.0,75cm,4.0,2.0,135.0,16.0,128.0,3638,3638
421,2323.0,75cm,6.0,2.0,45.0,16.0,128.0,3694,3694
421,3403.0,75cm,8.0,2.0,45.0,16.0,128.0,8636,8836
421,3740.0,75cm,8.0,2.0,90.0,16.0,128.0,7998,7998
421,3760.0,75cm,6.0,3.0,135.0,16.0,128.0,1672,1872
421,3425.0,75cm,7.0,1.0,45.0,16.0,128.0,2299,2299
421,2481.0,75cm,8.0,2.0,135.0,16.0,128.0,2552,2552
421,2615.0,75cm,4.0,2.0,90.0,16.0,128.0,6165,5165
421,3108.0,75cm,5.0,3.0,135.0,16.0,128.0,7395,1436
421,3380.0,75cm,7.0,2.0,90.0,16.0,128.0,6826,6826
421,2186.0,75cm,6.0,1.0,90.0,16.0,128.0,8752,8752
421,2683.0,75cm,8.0,1.0,45.0,16.0,128.0,7096,7096
421,5318.0,75cm,7.0,4.0,90.0,16.0,128.0,8870,8876
421,2948.0,75cm,8.0,3.0,135.0,16.0,128.0,2324,2334
421,3378.0,75cm,6.0,1.0,135.0,16.0,128.0,9872,9872
421,4055.0,75cm,7.0,3.0,135.0,16.0,128.0,5213,5213
421,2995.0,75cm,1.0,0.0,0.0,16.0,128.0,1385,1385
421,4621.0,75cm,7.0,3.0,90.0,16.0,128.0,3318,3386
421,4076.0,75cm,5.0,3.0,90.0,16.0,128.0,3105,3006
421,3017.0,75cm,5.0,1.0,135.0,16.0,128.0,5715,5715
421,2253.0,75cm,7.0,1.0,90.0,16.0,128.0,5994,5994
421,4056.0,75cm,4.0,3.0,90.0,16.0,128.0,2008,2003
421,5315.0,75cm,6.0,2.0,90.0,16.0,128.0,3140,3140
421,3377.0,75cm,5.0,2.0,135.0,16.0,128.0,3416,3416
421,4616.0,75cm,6.0,3.0,90.0,16.0,128.0,5913,5913
421,2930.0,75cm,8.0,4.0,90.0,16.0,128.0,1332,1332
421,3154.0,75cm,1.0,0.0,0.0,16.0,128.0,8653,8653
421,2683.0,75cm,6.0,2.0,135.0,16.0,128.0,4236,4236
421,2773.0,75cm,7.0,1.0,135.0,16.0,128.0,9288,9288
421,2571.0,75cm,5.0,2.0,90.0,16.0,128.0,1349,1349
421,2680.0,75cm,8.0,3.0,90.0,16.0,128.0,3449,3449
421,2683.0,75cm,7.0,2.0,45.0,16.0,128.0,5340,5346
421,3898.0,75cm,7.0,2.0,135.0,16.0,128.0,8368,8565
421,2055.0,75cm,1.0,0.0,0.0,16.0,128.0,4414,4414
421,3961.0,intended,3.0,2.0,90.0,16.0,128.0,5683,5683
421,4844.0,intended,6.0,2.0,135.0,16.0,128.0,4112,4112
421,1918.0,intended,1.0,0.0,0.0,16.0,128.0,5999,5999
421,2298.0,intended,7.0,1.0,90.0,16.0,128.0,8226,8226
421,2793.0,intended,7.0,2.0,135.0,16.0,128.0,8262,8262
421,2322.0,intended,4.0,2.0,90.0,16.0,128.0,6864,5864
421,3920.0,intended,7.0,4.0,90.0,16.0,128.0,9985,9935
421,3920.0,intended,7.0,2.0,90.0,16.0,128.0,8308,8308
421,3063.0,intended,8.0,4.0,90.0,16.0,128.0,2437,2437
421,3153.0,intended,6.0,2.0,90.0,16.0,128.0,8693,8693
421,2141.0,intended,8.0,2.0,135.0,16.0,128.0,6394,6394
421,2277.0,intended,8.0,3.0,135.0,16.0,128.0,5163,5163
421,1897.0,intended,8.0,1.0,45.0,16.0,128.0,6014,6014
421,2005.0,intended,6.0,1.0,135.0,16.0,128.0,2549,2549
421,3200.0,intended,4.0,3.0,90.0,16.0,128.0,3286,3283
421,2344.0,intended,7.0,1.0,135.0,16.0,128.0,9352,9352
421,2548.0,intended,8.0,2.0,45.0,16.0,128.0,5464,5464
421,4370.0,intended,8.0,1.0,135.0,16.0,128.0,4245,4245
421,4216.0,intended,8.0,3.0,45.0,16.0,128.0,5858,5858
421,3264.0,intended,5.0,2.0,135.0,16.0,128.0,9109,9109
421,1853.0,intended,4.0,1.0,90.0,16.0,128.0,1023,1023
421,2051.0,intended,6.0,3.0,90.0,16.0,128.0,2137,2137
421,2232.0,intended,4.0,2.0,135.0,16.0,128.0,1959,1959
421,2951.0,intended,5.0,3.0,135.0,16.0,128.0,8022,5012
421,2031.0,intended,7.0,1.0,45.0,16.0,128.0,6692,6692
421,2252.0,intended,7.0,3.0,135.0,16.0,128.0,8752,6752
421,1489.0,intended,7.0,2.0,45.0,16.0,128.0,1106,1106
421,2412.0,intended,6.0,2.0,45.0,16.0,128.0,3698,3698
421,2077.0,intended,5.0,1.0,90.0,16.0,128.0,8217,8217
421,2299.0,intended,5.0,2.0,90.0,16.0,128.0,4910,4913
421,2820.0,intended,8.0,3.0,90.0,16.0,128.0,6354,6354
421,2185.0,intended,6.0,3.0,135.0,16.0,128.0,3027,3027
421,2933.0,intended,5.0,1.0,135.0,16.0,128.0,7686,7686
421,2633.0,intended,7.0,3.0,45.0,16.0,128.0,8176,8176
421,2344.0,intended,7.0,3.0,90.0,16.0,128.0,1653,1653
421,2298.0,intended,6.0,1.0,90.0,16.0,128.0,3142,3142
421,2776.0,intended,1.0,0.0,0.0,16.0,128.0,4777,4777
421,1892.0,intended,5.0,3.0,90.0,16.0,128.0,2131,2131
421,1785.0,intended,1.0,0.0,0.0,16.0,128.0,1988,1988
421,2863.0,intended,8.0,2.0,90.0,16.0,128.0,5280,5280
421,2742.0,50cm,8.0,2.0,90.0,16.0,128.0,6837,6837
421,2614.0,50cm,6.0,2.0,135.0,16.0,128.0,5134,5134
421,3358.0,50cm,8.0,4.0,90.0,16.0,128.0,9500,9500
421,2143.0,50cm,7.0,1.0,45.0,16.0,128.0,4002,4002
421,1848.0,50cm,3.0,2.0,90.0,16.0,128.0,1185,1185
421,3086.0,50cm,5.0,3.0,135.0,16.0,128.0,4603,4633
421,2795.0,50cm,7.0,1.0,90.0,16.0,128.0,9236,9236
421,2975.0,50cm,7.0,3.0,45.0,16.0,128.0,3850,3850
421,3380.0,50cm,4.0,2.0,90.0,16.0,128.0,6650,5650
421,4801.0,50cm,4.0,3.0,90.0,16.0,128.0,5883,5833
421,2092.0,50cm,5.0,2.0,135.0,16.0,128.0,4475,4475
421,3629.0,50cm,6.0,2.0,90.0,16.0,128.0,8336,8336
421,2749.0,50cm,5.0,2.0,90.0,16.0,128.0,6579,6579
421,6088.0,50cm,8.0,1.0,45.0,16.0,128.0,5866,5866
421,1827.0,50cm,6.0,1.0,90.0,16.0,128.0,3000,3000
421,1892.0,50cm,7.0,2.0,135.0,16.0,128.0,3036,3036
421,1893.0,50cm,4.0,2.0,135.0,16.0,128.0,2664,2664
421,2346.0,50cm,8.0,1.0,135.0,16.0,128.0,8140,8140
421,3491.0,50cm,8.0,2.0,135.0,16.0,128.0,7849,7849
421,2346.0,50cm,5.0,3.0,90.0,16.0,128.0,3905,3906
421,2343.0,50cm,6.0,1.0,135.0,16.0,128.0,6715,6715
421,2185.0,50cm,8.0,3.0,135.0,16.0,128.0,7324,7324
421,1671.0,50cm,5.0,1.0,135.0,16.0,128.0,2737,2737
421,2525.0,50cm,7.0,1.0,135.0,16.0,128.0,9416,9416
421,2168.0,50cm,4.0,1.0,90.0,16.0,128.0,4730,4730
421,1942.0,50cm,1.0,0.0,0.0,16.0,128.0,7751,7751
421,2879.0,50cm,5.0,1.0,90.0,16.0,128.0,8334,8334
421,2865.0,50cm,7.0,3.0,90.0,16.0,128.0,2095,2095
421,1960.0,50cm,6.0,3.0,90.0,16.0,128.0,7203,7203
421,1785.0,50cm,8.0,3.0,90.0,16.0,128.0,7703,7703
421,7791.0,50cm,6.0,3.0,135.0,16.0,128.0,2080,2080
421,2677.0,50cm,1.0,0.0,0.0,16.0,128.0,6635,6635
421,1985.0,50cm,7.0,2.0,90.0,16.0,128.0,3532,3532
421,2481.0,50cm,8.0,2.0,45.0,16.0,128.0,4054,4064
421,2346.0,50cm,8.0,3.0,45.0,16.0,128.0,3456,3456
421,3540.0,50cm,7.0,3.0,135.0,16.0,128.0,9743,9743
421,2118.0,50cm,6.0,2.0,45.0,16.0,128.0,1453,1453
421,4978.0,50cm,7.0,4.0,90.0,16.0,128.0,8419,8445
421,1915.0,50cm,7.0,2.0,45.0,16.0,128.0,6668,6668
421,2570.0,50cm,1.0,0.0,0.0,16.0,128.0,4347,4347
421,9240.0,100cm,8.0,3.0,45.0,16.0,128.0,7412,7017
421,9583.0,100cm,7.0,1.0,90.0,16.0,128.0,6841,6683
421,3015.0,100cm,7.0,2.0,135.0,16.0,128.0,5961,9964
421,2638.0,100cm,1.0,0.0,0.0,16.0,128.0,2770,2770
421,4192.0,100cm,8.0,2.0,45.0,16.0,128.0,7492,7462
421,3356.0,100cm,8.0,3.0,135.0,16.0,128.0,4038,4636
421,3134.0,100cm,8.0,4.0,90.0,16.0,128.0,3090,8636
421,4549.0,100cm,1.0,0.0,0.0,16.0,128.0,5898,5898
421,6552.0,100cm,7.0,3.0,90.0,16.0,128.0,5966,5948
421,5700.0,100cm,6.0,3.0,90.0,16.0,128.0,1351,8742
421,2319.0,100cm,7.0,1.0,135.0,16.0,128.0,3358,3558
421,8961.0,100cm,6.0,2.0,135.0,16.0,128.0,6094,5994
421,7925.0,100cm,7.0,4.0,90.0,16.0,128.0,8109,6034
421,2726.0,100cm,8.0,2.0,90.0,16.0,128.0,2013,2003
421,4281.0,100cm,7.0,2.0,45.0,16.0,128.0,7213,9213
421,3625.0,100cm,5.0,1.0,135.0,16.0,128.0,7605,7665
421,7230.0,100cm,7.0,3.0,135.0,16.0,128.0,7995,9999
421,7339.0,100cm,6.0,2.0,90.0,16.0,128.0,8890,8950
421,4213.0,100cm,5.0,3.0,135.0,16.0,128.0,7460,1460
421,5449.0,100cm,5.0,2.0,90.0,16.0,128.0,8182,8283
421,5811.0,100cm,6.0,1.0,135.0,16.0,128.0,4353,4353
421,3357.0,100cm,1.0,0.0,0.0,16.0,128.0,3851,3851
421,3447.0,100cm,4.0,2.0,135.0,16.0,128.0,3152,3142
421,5786.0,100cm,8.0,1.0,135.0,16.0,128.0,5341,5341
421,2366.0,100cm,7.0,1.0,45.0,16.0,128.0,5076,5676
421,2210.0,100cm,8.0,1.0,45.0,16.0,128.0,2268,2268
421,8400.0,100cm,4.0,3.0,90.0,16.0,128.0,6614,56
421,4616.0,100cm,3.0,2.0,90.0,16.0,128.0,8149,6149
421,2255.0,100cm,6.0,1.0,90.0,16.0,128.0,7310,7316
421,1334.0,100cm,5.0,3.0,90.0,16.0,128.0,7104,
421,3267.0,100cm,6.0,3.0,135.0,16.0,128.0,2697,1251
421,3290.0,100cm,8.0,3.0,90.0,16.0,128.0,1318,8236
421,5699.0,100cm,4.0,2.0,90.0,16.0,128.0,3332,3021
421,1800.0,100cm,7.0,3.0,45.0,16.0,128.0,2000,2000
421,4844.0,100cm,5.0,1.0,90.0,16.0,128.0,7705,7765
421,8331.0,100cm,7.0,2.0,90.0,16.0,128.0,3776,3776
421,3739.0,100cm,4.0,1.0,90.0,16.0,128.0,4747,4747
421,4639.0,100cm,5.0,2.0,135.0,16.0,128.0,5981,7961
421,14179.0,100cm,8.0,2.0,135.0,16.0,128.0,3282,3264
421,5426.0,100cm,6.0,2.0,45.0,16.0,128.0,2135,2135
