participant_id,time,scale,period,line_width,angle,font_size,stripe_color,text,input_text
601,4027.0,100cm,7.0,1.0,135.0,16.0,128.0,9772,9772
601,3844.0,100cm,7.0,2.0,90.0,16.0,128.0,6034,6934
601,3806.0,100cm,7.0,1.0,45.0,16.0,128.0,6866,6866
601,4770.0,100cm,8.0,1.0,135.0,16.0,128.0,7227,7227
601,4366.0,100cm,6.0,3.0,135.0,16.0,128.0,9086,9835
601,3895.0,100cm,3.0,2.0,90.0,16.0,128.0,6752,6752
601,3399.0,100cm,5.0,3.0,135.0,16.0,128.0,9188,9183
601,4164.0,100cm,6.0,1.0,90.0,16.0,128.0,1995,1965
601,3869.0,100cm,7.0,3.0,45.0,16.0,128.0,2058,2528
601,3759.0,100cm,6.0,3.0,90.0,16.0,128.0,5204,5234
601,3781.0,100cm,4.0,1.0,90.0,16.0,128.0,5386,5336
601,2925.0,100cm,7.0,3.0,135.0,16.0,128.0,1947,1541
601,4299.0,100cm,8.0,2.0,135.0,16.0,128.0,2498,2436
601,4186.0,100cm,8.0,2.0,90.0,16.0,128.0,6451,5461
601,4053.0,100cm,7.0,2.0,45.0,16.0,128.0,5921,6231
601,3242.0,100cm,4.0,2.0,90.0,16.0,128.0,2033,2633
601,3556.0,100cm,8.0,4.0,90.0,16.0,128.0,4989,6236
601,3397.0,100cm,8.0,3.0,90.0,16.0,128.0,5890,5836
601,3066.0,100cm,1.0,0.0,0.0,16.0,128.0,9234,9234
601,3037.0,100cm,6.0,2.0,135.0,16.0,128.0,3625,3526
601,4186.0,100cm,6.0,2.0,90.0,16.0,128.0,8565,8525
601,3804.0,100cm,1.0,0.0,0.0,16.0,128.0,9926,9926
601,3445.0,100cm,5.0,2.0,90.0,16.0,128.0,5344,5344
601,3714.0,100cm,4.0,2.0,135.0,16.0,128.0,9573,9573
601,2725.0,100cm,5.0,1.0,135.0,16.0,128.0,4443,4443
601,4771.0,100cm,7.0,4.0,90.0,16.0,128.0,1098,2468
601,4839.0,100cm,5.0,2.0,135.0,16.0,128.0,3289,3269
601,3694.0,100cm,7.0,2.0,135.0,16.0,128.0,6950,6559
601,4410.0,100cm,5.0,3.0,90.0,16.0,128.0,1747,8743
601,5175.0,100cm,8.0,3.0,135.0,16.0,128.0,9073,8574
601,3850.0,100cm,8.0,2.0,45.0,16.0,128.0,4353,4368
601,5086.0,100cm,7.0,3.0,90.0,16.0,128.0,7388,7238
601,3018.0,100cm,6.0,2.0,45.0,16.0,128.0,6517,6537
601,4367.0,100cm,7.0,1.0,90.0,16.0,128.0,9408,9408
601,3127.0,100cm,5.0,1.0,90.0,16.0,128.0,7636,7636
601,3198.0,100cm,6.0,1.0,135.0,16.0,128.0,7016,7615
601,3804.0,100cm,8.0,3.0,45.0,16.0,128.0,9574,9534
601,3173.0,100cm,8.0,1.0,45.0,16.0,128.0,6365,6365
601,3827.0,100cm,1.0,0.0,0.0,16.0,128.0,3414,3414
601,3085.0,100cm,4.0,3.0,90.0,16.0,128.0,7334,7815
601,5558.0,50cm,7.0,3.0,45.0,16.0,128.0,4958,4958
601,3106.0,50cm,5.0,2.0,135.0,16.0,128.0,6544,6544
601,3489.0,50cm,8.0,3.0,90.0,16.0,128.0,8156,3156
601,3219.0,50cm,6.0,3.0,135.0,16.0,128.0,1315,1335
