participant_id,time,scale,period,line_width,angle,font_size,stripe_color,text,input_text
409,2586.0,100cm,6.0,1.0,135.0,16.0,128.0,8383,8383
409,2792.0,100cm,5.0,1.0,90.0,16.0,128.0,2686,2686
409,2454.0,100cm,4.0,2.0,135.0,16.0,128.0,7630,7630
409,2634.0,100cm,1.0,0.0,0.0,16.0,128.0,9898,9898
409,4140.0,100cm,5.0,3.0,90.0,16.0,128.0,9882,5282
409,4480.0,100cm,7.0,2.0,90.0,16.0,128.0,5463,5453
409,2474.0,100cm,8.0,1.0,135.0,16.0,128.0,8395,8395
409,2096.0,100cm,8.0,2.0,45.0,16.0,128.0,2987,2987
409,4482.0,100cm,8.0,4.0,90.0,16.0,128.0,1810,0530
409,2271.0,100cm,6.0,1.0,90.0,16.0,128.0,1469,1469
409,1982.0,100cm,1.0,0.0,0.0,16.0,128.0,3037,3037
409,2732.0,100cm,7.0,3.0,45.0,16.0,128.0,1893,1893
409,2130.0,100cm,6.0,3.0,135.0,16.0,128.0,4943,4943
409,4432.0,100cm,7.0,4.0,90.0,16.0,128.0,3833,3873
409,2164.0,100cm,7.0,1.0,45.0,16.0,128.0,4065,4065
409,2032.0,100cm,1.0,0.0,0.0,16.0,128.0,7087,7087
409,1956.0,100cm,5.0,1.0,135.0,16.0,128.0,9154,9154
409,2249.0,100cm,7.0,2.0,135.0,16.0,128.0,6206,6206
409,2072.0,100cm,8.0,3.0,90.0,16.0,128.0,7700,7700
409,2836.0,100cm,8.0,3.0,135.0,16.0,128.0,7444,7384
409,3763.0,100cm,8.0,3.0,45.0,16.0,128.0,2861,2960
409,3058.0,100cm,6.0,2.0,90.0,16.0,128.0,2396,2396
409,2070.0,100cm,7.0,1.0,135.0,16.0,128.0,9527,9527
409,2411.0,100cm,4.0,1.0,90.0,16.0,128.0,6971,6971
409,2566.0,100cm,7.0,1.0,90.0,16.0,128.0,7314,7314
409,3107.0,100cm,8.0,2.0,90.0,16.0,128.0,1771,1721
409,2770.0,100cm,4.0,2.0,90.0,16.0,128.0,9959,9669
409,2862.0,100cm,7.0,3.0,90.0,16.0,128.0,1774,1794
409,3027.0,100cm,5.0,3.0,135.0,16.0,128.0,3356,3468
409,2528.0,100cm,6.0,2.0,135.0,16.0,128.0,6287,6287
409,2702.0,100cm,6.0,3.0,90.0,16.0,128.0,6979,6979
409,2319.0,100cm,6.0,2.0,45.0,16.0,128.0,4221,4221
409,3106.0,100cm,4.0,3.0,90.0,16.0,128.0,6793,5453
409,2476.0,100cm,5.0,2.0,90.0,16.0,128.0,7498,7495
409,3782.0,100cm,8.0,1.0,45.0,16.0,128.0,8720,8720
409,2251.0,100cm,8.0,2.0,135.0,16.0,128.0,7937,7937
409,2456.0,100cm,3.0,2.0,90.0,16.0,128.0,9020,9060
409,1868.0,100cm,7.0,3.0,135.0,16.0,128.0,9448,9448
409,2138.0,100cm,5.0,2.0,135.0,16.0,128.0,8626,3628
409,1724.0,100cm,7.0,2.0,45.0,16.0,128.0,3494,3494
409,1805.0,75cm,7.0,1.0,135.0,16.0,128.0,4491,4491
409,2428.0,75cm,4.0,2.0,135.0,16.0,128.0,5549,8549
409,2500.0,75cm,7.0,2.0,45.0,16.0,128.0,6379,6379
409,1711.0,75cm,8.0,2.0,90.0,16.0,128.0,4882,4882
409,2162.0,75cm,6.0,1.0,135.0,16.0,128.0,9256,9256
409,2099.0,75cm,4.0,3.0,90.0,16.0,128.0,6542,5541
409,2073.0,75cm,5.0,3.0,135.0,16.0,128.0,4602,4692
409,1889.0,75cm,6.0,3.0,90.0,16.0,128.0,7721,7720
409,1843.0,75cm,6.0,2.0,45.0,16.0,128.0,1977,1977
409,1825.0,75cm,5.0,1.0,90.0,16.0,128.0,5018,5018
409,1785.0,75cm,7.0,2.0,135.0,16.0,128.0,3444,3444
409,1975.0,75cm,4.0,2.0,90.0,16.0,128.0,9666,9966
409,1855.0,75cm,6.0,2.0,90.0,16.0,128.0,1541,1541
409,1890.0,75cm,8.0,4.0,90.0,16.0,128.0,7660,7660
409,3708.0,75cm,6.0,3.0,135.0,16.0,128.0,5824,5824
409,2410.0,75cm,4.0,1.0,90.0,16.0,128.0,6039,6039
409,1851.0,75cm,8.0,1.0,135.0,16.0,128.0,5135,5135
409,1556.0,75cm,1.0,0.0,0.0,16.0,128.0,1632,1632
409,1592.0,75cm,8.0,2.0,45.0,16.0,128.0,8226,8226
409,1804.0,75cm,5.0,3.0,90.0,16.0,128.0,8629,8628
409,1689.0,75cm,6.0,1.0,90.0,16.0,128.0,8426,8426
409,4558.0,75cm,7.0,3.0,90.0,16.0,128.0,6392,6332
409,1840.0,75cm,5.0,1.0,135.0,16.0,128.0,1027,1027
409,2651.0,75cm,7.0,2.0,90.0,16.0,128.0,3664,3654
409,1876.0,75cm,8.0,3.0,45.0,16.0,128.0,3393,3393
409,3191.0,75cm,5.0,2.0,90.0,16.0,128.0,1768,1763
409,2677.0,75cm,3.0,2.0,90.0,16.0,128.0,6875,6875
409,2273.0,75cm,7.0,3.0,135.0,16.0,128.0,2846,2846
409,2459.0,75cm,8.0,1.0,45.0,16.0,128.0,9888,9888
409,3109.0,75cm,8.0,3.0,135.0,16.0,128.0,6408,6406
409,2113.0,75cm,6.0,2.0,135.0,16.0,128.0,2883,2883
409,3671.0,75cm,7.0,4.0,90.0,16.0,128.0,9283,9255
409,2161.0,75cm,5.0,2.0,135.0,16.0,128.0,3345,3348
