participant_id,time,scale,period,line_width,angle,font_size,stripe_color,text,input_text
419,3914.0,intended,7.0,2.0,135.0,16.0,128.0,6052,6052
419,4233.0,intended,5.0,3.0,90.0,16.0,128.0,3809,3805
419,6797.0,intended,7.0,4.0,90.0,16.0,128.0,8660,8630
419,3512.0,intended,5.0,1.0,90.0,16.0,128.0,3902,3902
419,3850.0,intended,8.0,1.0,135.0,16.0,128.0,3798,3798
419,4276.0,intended,7.0,2.0,45.0,16.0,128.0,8952,8952
419,4322.0,intended,7.0,1.0,135.0,16.0,128.0,9710,9710
419,4211.0,intended,8.0,2.0,90.0,16.0,128.0,7277,7277
419,3466.0,intended,4.0,1.0,90.0,16.0,128.0,1925,1925
419,5468.0,intended,3.0,2.0,90.0,16.0,128.0,8844,8844
419,3466.0,intended,6.0,2.0,90.0,16.0,128.0,1629,1629
419,4300.0,intended,6.0,2.0,45.0,16.0,128.0,1305,1305
419,3599.0,intended,7.0,3.0,135.0,16.0,128.0,8802,6602
419,4164.0,intended,7.0,3.0,90.0,16.0,128.0,2716,2716
419,2771.0,intended,6.0,1.0,90.0,16.0,128.0,5628,5628
419,2970.0,intended,8.0,1.0,45.0,16.0,128.0,5550,5550
419,3647.0,intended,6.0,2.0,135.0,16.0,128.0,1971,1971
419,5000.0,intended,7.0,2.0,90.0,16.0,128.0,1491,1491
419,7156.0,intended,4.0,2.0,90.0,16.0,128.0,1873,1873
419,6232.0,intended,8.0,3.0,135.0,16.0,128.0,8329,8329
419,3040.0,intended,5.0,2.0,135.0,16.0,128.0,5153,5153
419,3152.0,intended,8.0,2.0,45.0,16.0,128.0,3630,3630
419,5088.0,intended,6.0,3.0,90.0,16.0,128.0,1249,1249
419,3624.0,intended,1.0,0.0,0.0,16.0,128.0,5582,5582
419,2949.0,intended,8.0,4.0,90.0,16.0,128.0,8343,3343
419,4615.0,intended,4.0,3.0,90.0,16.0,128.0,8184,3184
419,3242.0,intended,7.0,1.0,90.0,16.0,128.0,3116,3116
419,3266.0,intended,1.0,0.0,0.0,16.0,128.0,5636,5636
419,8098.0,intended,6.0,3.0,135.0,16.0,128.0,4809,4809
419,3579.0,intended,7.0,3.0,45.0,16.0,128.0,3552,3552
419,4616.0,intended,8.0,2.0,135.0,16.0,128.0,7637,7637
419,5830.0,intended,7.0,1.0,45.0,16.0,128.0,9419,9419
419,7741.0,intended,5.0,2.0,90.0,16.0,128.0,8355,8355
419,4008.0,intended,8.0,3.0,45.0,16.0,128.0,8071,8071
419,2635.0,intended,5.0,1.0,135.0,16.0,128.0,5200,5200
419,10106.0,intended,5.0,3.0,135.0,16.0,128.0,4755,4750
419,3806.0,intended,1.0,0.0,0.0,16.0,128.0,2947,2947
419,3396.0,intended,8.0,3.0,90.0,16.0,128.0,6048,6048
419,3532.0,intended,6.0,1.0,135.0,16.0,128.0,2894,2894
419,9475.0,intended,4.0,2.0,135.0,16.0,128.0,6886,6836
419,4003.0,50cm,1.0,0.0,0.0,16.0,128.0,4142,4142
419,3401.0,50cm,7.0,1.0,45.0,16.0,128.0,7763,7763
419,9584.0,50cm,5.0,3.0,135.0,16.0,128.0,4744,4741
419,2995.0,50cm,7.0,1.0,135.0,16.0,128.0,9980,9980
419,3737.0,50cm,4.0,1.0,90.0,16.0,128.0,3891,3891
419,6911.0,50cm,8.0,3.0,45.0,16.0,128.0,1891,1901
419,10916.0,50cm,6.0,3.0,90.0,16.0,128.0,8589,8589
419,4704.0,50cm,6.0,2.0,45.0,16.0,128.0,9416,9416
419,3240.0,50cm,6.0,1.0,135.0,16.0,128.0,8583,8583
419,4413.0,50cm,7.0,2.0,45.0,16.0,128.0,9297,9297
419,4008.0,50cm,1.0,0.0,0.0,16.0,128.0,1054,1054
419,4123.0,50cm,8.0,1.0,135.0,16.0,128.0,4406,4406
419,7110.0,50cm,6.0,3.0,135.0,16.0,128.0,6638,8838
419,3512.0,50cm,8.0,2.0,45.0,16.0,128.0,4741,4741
419,4209.0,50cm,5.0,2.0,90.0,16.0,128.0,7141,7141
419,3197.0,50cm,4.0,2.0,90.0,16.0,128.0,2559,2599
419,5583.0,50cm,7.0,3.0,45.0,16.0,128.0,8349,8349
419,5583.0,50cm,8.0,1.0,45.0,16.0,128.0,2558,2558
419,4593.0,50cm,6.0,2.0,90.0,16.0,128.0,7307,7307
419,4727.0,50cm,8.0,2.0,135.0,16.0,128.0,5755,5755
419,3354.0,50cm,3.0,2.0,90.0,16.0,128.0,1431,1431
419,4096.0,50cm,6.0,1.0,90.0,16.0,128.0,7869,7869
419,6282.0,50cm,4.0,2.0,135.0,16.0,128.0,7957,7987
419,5629.0,50cm,7.0,3.0,90.0,16.0,128.0,7458,7459
419,3801.0,50cm,8.0,2.0,90.0,16.0,128.0,7776,7776
419,3331.0,50cm,5.0,1.0,135.0,16.0,128.0,8582,8582
419,3559.0,50cm,5.0,3.0,90.0,16.0,128.0,6184,6184
419,4006.0,50cm,8.0,3.0,90.0,16.0,128.0,5338,5336
419,3803.0,50cm,8.0,3.0,135.0,16.0,128.0,2365,2365
419,4074.0,50cm,5.0,2.0,135.0,16.0,128.0,5855,5858
419,4461.0,50cm,8.0,4.0,90.0,16.0,128.0,1281,1291
419,7222.0,50cm,7.0,2.0,90.0,16.0,128.0,5675,5675
419,7427.0,50cm,4.0,3.0,90.0,16.0,128.0,8498,9496
419,4592.0,50cm,6.0,2.0,135.0,16.0,128.0,9090,9090
419,2679.0,50cm,1.0,0.0,0.0,16.0,128.0,6051,6051
419,6190.0,50cm,7.0,4.0,90.0,16.0,128.0,6892,6832
419,3919.0,50cm,5.0,1.0,90.0,16.0,128.0,6037,6037
419,3665.0,50cm,7.0,2.0,135.0,16.0,128.0,7471,7471
419,4369.0,50cm,7.0,3.0,135.0,16.0,128.0,5983,5583
419,2950.0,50cm,7.0,1.0,90.0,16.0,128.0,1784,1784
419,5200.0,75cm,5.0,3.0,90.0,16.0,128.0,3196,3196
419,5337.0,75cm,8.0,1.0,135.0,16.0,128.0,3780,3780
419,9630.0,75cm,8.0,3.0,45.0,16.0,128.0,9250,5350
419,5492.0,75cm,8.0,3.0,90.0,16.0,128.0,7485,7463
419,5424.0,75cm,7.0,2.0,135.0,16.0,128.0,1750,1738
419,2883.0,75cm,7.0,1.0,45.0,16.0,128.0,4776,4776
419,4187.0,75cm,7.0,1.0,135.0,16.0,128.0,4322,4322
419,3918.0,75cm,1.0,0.0,0.0,16.0,128.0,4972,4972
419,5807.0,75cm,7.0,4.0,90.0,16.0,128.0,6022,6062
419,6029.0,75cm,7.0,3.0,135.0,16.0,128.0,3521,3551
419,9407.0,75cm,8.0,3.0,135.0,16.0,128.0,5233,5244
419,3895.0,75cm,5.0,1.0,135.0,16.0,128.0,6073,6073
419,5517.0,75cm,4.0,1.0,90.0,16.0,128.0,8564,8564
419,9921.0,75cm,5.0,3.0,135.0,16.0,128.0,4955,4750
419,4819.0,75cm,4.0,2.0,90.0,16.0,128.0,2537,2557
419,6457.0,75cm,4.0,3.0,90.0,16.0,128.0,5432,5433
419,3644.0,75cm,5.0,2.0,90.0,16.0,128.0,6226,6225
419,4927.0,75cm,8.0,4.0,90.0,16.0,128.0,5880,5530
419,6594.0,75cm,6.0,3.0,90.0,16.0,128.0,5435,5435
419,4121.0,75cm,7.0,3.0,90.0,16.0,128.0,3367,3357
419,3197.0,75cm,6.0,2.0,45.0,16.0,128.0,7747,7747
419,4273.0,75cm,8.0,2.0,135.0,16.0,128.0,7673,7673
419,4054.0,75cm,6.0,1.0,135.0,16.0,128.0,2182,2182
419,5289.0,75cm,4.0,2.0,135.0,16.0,128.0,2178,2170
419,3736.0,75cm,6.0,2.0,90.0,16.0,128.0,2460,2460
419,4053.0,75cm,5.0,1.0,90.0,16.0,128.0,3944,3944
419,6392.0,75cm,3.0,2.0,90.0,16.0,128.0,9114,9114
419,7224.0,75cm,8.0,2.0,45.0,16.0,128.0,2176,2176
419,4817.0,75cm,8.0,2.0,90.0,16.0,128.0,7662,7662
419,4412.0,75cm,7.0,1.0,90.0,16.0,128.0,3155,3155
419,4704.0,75cm,1.0,0.0,0.0,16.0,128.0,6181,6181
419,4659.0,75cm,1.0,0.0,0.0,16.0,128.0,8747,8747
419,3780.0,75cm,7.0,2.0,45.0,16.0,128.0,4701,4781
419,7337.0,75cm,8.0,1.0,45.0,16.0,128.0,3664,3664
419,3802.0,75cm,7.0,2.0,90.0,16.0,128.0,2959,2955
419,7632.0,75cm,6.0,2.0,135.0,16.0,128.0,1621,1521
419,4971.0,75cm,6.0,3.0,135.0,16.0,128.0,9609,5508
419,3762.0,75cm,5.0,2.0,135.0,16.0,128.0,5924,5924
419,6435.0,75cm,7.0,3.0,45.0,16.0,128.0,9015,9815
419,4818.0,75cm,6.0,1.0,90.0,16.0,128.0,9048,9048
419,4006.0,100cm,4.0,2.0,90.0,16.0,128.0,9843,
419,5092.0,100cm,5.0,3.0,135.0,16.0,128.0,3967,1742
419,5607.0,100cm,4.0,2.0,135.0,16.0,128.0,7901,1720
