participant_id,time,scale,period,angle,font_size,stripe_color,text,input_text
402,2271.0,intended,8.0,90.0,16.0,128.0,9230,9230
402,1375.0,intended,4.0,90.0,16.0,128.0,2466,2466
402,1576.0,intended,7.0,90.0,16.0,128.0,9051,9051
402,2295.0,intended,8.0,135.0,16.0,128.0,4767,4787
402,3610.0,intended,4.0,0.0,16.0,128.0,6388,6388
402,1757.0,intended,7.0,135.0,16.0,128.0,6012,6012
402,2407.0,intended,6.0,45.0,16.0,128.0,3615,3615
402,1595.0,intended,7.0,135.0,16.0,128.0,5114,5114
402,2070.0,intended,7.0,45.0,16.0,128.0,4720,4720
402,1757.0,intended,7.0,135.0,16.0,128.0,8204,8204
402,2475.0,intended,5.0,90.0,16.0,128.0,1705,1705
402,1794.0,intended,7.0,90.0,16.0,128.0,5391,5370
402,2173.0,intended,6.0,135.0,16.0,128.0,1150,1150
402,2478.0,intended,5.0,135.0,16.0,128.0,4998,4998
402,2950.0,intended,8.0,90.0,16.0,128.0,2335,2335
402,3062.0,intended,4.0,90.0,16.0,128.0,1388,1388
402,3538.0,intended,8.0,45.0,16.0,128.0,3918,3918
402,6188.0,intended,8.0,45.0,16.0,128.0,3461,3461
402,2452.0,intended,5.0,90.0,16.0,128.0,9238,9238
402,1689.0,intended,4.0,135.0,16.0,128.0,2210,2210
402,2026.0,intended,7.0,45.0,16.0,128.0,9823,9823
402,3422.0,intended,6.0,135.0,16.0,128.0,6183,6183
402,2387.0,intended,6.0,90.0,16.0,128.0,6190,6190
402,1937.0,intended,8.0,135.0,16.0,128.0,8760,8760
402,2003.0,intended,3.0,90.0,16.0,128.0,2068,2068
402,8933.0,intended,6.0,90.0,16.0,128.0,3513,3513
402,2679.0,intended,7.0,90.0,16.0,128.0,9267,9268
402,7541.0,intended,6.0,45.0,16.0,128.0,6565,6565
402,2475.0,intended,8.0,45.0,16.0,128.0,6379,6379
402,1678.0,intended,4.0,0.0,16.0,128.0,3722,3722
402,2153.0,intended,7.0,45.0,16.0,128.0,7281,7281
402,2860.0,intended,5.0,135.0,16.0,128.0,1380,1380
402,2049.0,intended,6.0,135.0,16.0,128.0,8618,8618
402,2071.0,intended,6.0,45.0,16.0,128.0,8988,8988
402,5268.0,intended,4.0,90.0,16.0,128.0,6794,6794
402,2183.0,intended,4.0,0.0,16.0,128.0,9436,9436
402,3783.0,intended,8.0,90.0,16.0,128.0,2683,2683
402,6775.0,intended,5.0,90.0,16.0,128.0,9968,9966
402,2341.0,intended,6.0,90.0,16.0,128.0,7039,7039
402,1622.0,intended,8.0,135.0,16.0,128.0,1502,1502
402,13368.0,75cm,4.0,0.0,16.0,128.0,8036,8036
402,2423.0,75cm,5.0,90.0,16.0,128.0,5290,3290
402,1836.0,75cm,7.0,135.0,16.0,128.0,5009,5008
402,1664.0,75cm,6.0,45.0,16.0,128.0,1551,1551
402,2092.0,75cm,5.0,135.0,16.0,128.0,4357,4567
402,1893.0,75cm,8.0,135.0,16.0,128.0,5345,
402,1473.0,75cm,7.0,90.0,16.0,128.0,3323,
