scale_factor,line_orientation,line_angle,original_ocr_text,original_accuracy,processed_ocr_text,processed_accuracy,line_period,duty_cycle
0.75,d,15,,0.0,“shennan ny MRORRONU RLUMRS TY O12,0.171875,2,0.05
0.75,d,15,,0.0,“shennan ny MRORRONU RLUMRS TY O12,0.171875,2,0.1
0.75,d,15,,0.0,“shennan ny MRORRONU RLUMRS TY O12,0.171875,2,0.15
0.75,d,15,,0.0,“shennan ny MRORRONU RLUMRS TY O12,0.171875,2,0.2
0.75,d,15,,0.0,“shennan ny MRORRONU RLUMRS TY O12,0.171875,2,0.25
0.75,d,15,,0.0,“shennan ny MRORRONU RLUMRS TY O12,0.171875,2,0.3
0.75,d,15,,0.0,“shennan ny MRORRONU RLUMRS TY O12,0.171875,2,0.35
0.75,d,15,,0.0,“shennan ny MRORRONU RLUMRS TY O12,0.171875,2,0.4
0.75,d,15,,0.0,“shennan ny MRORRONU RLUMRS TY O12,0.171875,2,0.45
0.75,d,15,,0.0,“shennan ny MRORRONU RLUMRS TY O12,0.171875,2,0.5
0.75,d,15,,0.0,“shennan ny MRORRONU RLUMRS TY O12,0.171875,2,0.55
0.75,d,15,,0.0,“shennan ny MRORRONU RLUMRS TY O12,0.171875,2,0.6
0.75,d,15,,0.0,“shennan ny MRORRONU RLUMRS TY O12,0.171875,2,0.65
0.75,d,15,,0.0,“shennan ny MRORRONU RLUMRS TY O12,0.171875,2,0.7
0.75,d,15,,0.0,_shefhidinnopastasiny2 ALCDRFCUALMMPORSTUATL O27,0.390625,4,0.05
0.75,d,15,,0.0,_shefhidinnopastasiny2 ALCDRFCUALMMPORSTUATL O27,0.390625,4,0.1
0.75,d,15,,0.0,_shefhidinnopastasiny2 ALCDRFCUALMMPORSTUATL O27,0.390625,4,0.15
0.75,d,15,,0.0,_shefhidinnopastasiny2 ALCDRFCUALMMPORSTUATL O27,0.390625,4,0.2
0.75,d,15,,0.0,_shefhidinnopastasiny2 ALCDRFCUALMMPORSTUATL O27,0.390625,4,0.25
0.75,d,15,,0.0,_shefhidinnopastasiny2 ALCDRFCUALMMPORSTUATL O27,0.390625,4,0.3
0.75,d,15,,0.0,_shefhidinnopastasiny2 ALCDRFCUALMMPORSTUATL O27,0.390625,4,0.35
0.75,d,15,,0.0,_shefhidinnopastasiny2 ALCDRFCUALMMPORSTUATL O27,0.390625,4,0.4
0.75,d,15,,0.0,_shefhidinnopastasiny2 ALCDRFCUALMMPORSTUATL O27,0.390625,4,0.45
0.75,d,15,,0.0,,0.0,4,0.5
0.75,d,15,,0.0,,0.0,4,0.55
