scale_factor,line_angle,original_ocr_text,original_accuracy,processed_ocr_text,processed_accuracy,line_period,duty_cycle
0.5,135,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,ABCDEFGHISJKLMNOPQRSTUVWXYZ,0.9615384615384616,10,0.05
0.5,135,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,ABCDEFGHISJKLMNOPQRSTUVWXYZ,0.9615384615384616,10,0.1
0.5,135,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,ABCDEFGHISJKLMNOPQRSTUVWXYZ,0.9615384615384616,10,0.15
0.5,135,,0.0,ABCDEFGHISKLMNOPORSTUVWXYZ,0.9230769230769231,10,0.2
0.5,135,,0.0,ABCDEFGHISKLMNOPORSTUVWXYZ,0.9230769230769231,10,0.25
0.5,135,,0.0,,0.0,10,0.3
0.5,135,,0.0,,0.0,10,0.35
0.5,135,,0.0,,0.0,10,0.4
0.5,135,,0.0,,0.0,10,0.45
0.5,135,,0.0,,0.0,10,0.5
0.5,135,,0.0,,0.0,10,0.55
0.5,135,,0.0,,0.0,10,0.6
0.5,135,,0.0,,0.0,10,0.65
0.5,135,,0.0,,0.0,10,0.7
0.5,135,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,ABCDEFGHISJKLMNOPQRSTUVWXYZ,0.9615384615384616,20,0.05
0.5,135,,0.0,ABCDEFGHISKLMNOPQRSTUVWXYZ,0.9615384615384616,20,0.1
0.5,135,,0.0,,0.0,20,0.15
0.5,135,,0.0,,0.0,20,0.2
0.5,135,,0.0,,0.0,20,0.25
0.5,135,,0.0,,0.0,20,0.3
0.5,135,"ey

Le
Q

een
mad

-

se",0.0,,0.0,20,0.35
0.5,135,"Ca

a
a

=
ey

oor™N
Ts)

-",0.0,,0.0,20,0.4
0.5,135,"eR)

—s

Ql

mind",0.038461538461538436,,0.0,20,0.45
0.5,135,"""UCM NG Iey”
whe ih SY 7
- VL Kh beh

ret

as
~~

=
“—N

a=

=

ee

os

mit",0.0,,0.0,20,0.5
0.5,135,"ey ""7",0.0,,0.0,20,0.55
0.5,135,"ey ""7",0.0,,0.0,20,0.6
0.5,135,"ey ""7",0.0,,0.0,20,0.65
0.5,135,,0.0,,0.0,20,0.7
0.5,135,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,30,0.05
0.5,135,"NN
>
aS

=>

UVM

oO

O

—

Pp

\

ClIKLM",0.0,,0.0,30,0.1
0.5,135,"NN
>
aS

=>

UVM

oO

O

—

Pp

\

ClIKLM",0.0,,0.0,30,0.15
0.5,135,"VY
YZ

PORSTUVW)

NO

rHIKLM",0.0,"VYV
WXYZ

rUVW:

C7
oe)

HIKLMNOPOR

O
uw)
Qa
OQ

<

x",0.0,30,0.2
0.5,135,,0.0,,0.0,30,0.25
0.5,135,"HOV Z

oan
~

P
cv

-~

K",0.038461538461538436,"FISWW XYZ

er
S
J

Rr",0.038461538461538436,30,0.3
0.5,135,,0.0,"BWW XYZ,

r

S",0.07692307692307687,30,0.35
0.5,135,,0.0,"PPT
vie

,

W

J

of

PORS

los

we

-
iN

’

'

PEGTIIAL

rN

be

<

Ai",0.0,30,0.4
0.5,135,,0.0,"PPT
vie

,

W

J

of

PORS

los

we

-
iN

’

'

PEGTIIAL

rN

be

<

Ai",0.0,30,0.45
0.5,135,"Vig yy OW,",0.07692307692307687,"Ss
x

EEG aL MIDIS OP ORS ISIE 7,",0.0,30,0.5
0.5,135,,0.0,"WALT
von",0.07692307692307687,30,0.55
0.5,135,"VEU OVS VIG NS
A
os Mi Vey +
EEG, My
Mee ye!",0.0,"oe
bos

IVP",0.07692307692307687,30,0.6
0.5,135,"VEU OVS VIG NS
A
os Mi Vey +
EEG, My
Mee ye!",0.0,"oe
bos

IVP",0.07692307692307687,30,0.65
0.5,135,,0.0,,0.0,30,0.7
0.5,135,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,40,0.05
0.5,135,ABCDEFGHISKLMNOPQRSTUVWXYZ,0.9615384615384616,HISKLMNOPQRSTUVWXYZ,0.6923076923076923,40,0.1
0.5,135,MNGOPORSTUVWXYZ,0.46153846153846156,MNOPQRSTUVWXYZ,0.5384615384615384,40,0.15
0.5,135,,0.0,,0.0,40,0.2
0.5,135,ABCDEFGRHISGKEMNGPORSTIVWXYZ,0.7307692307692308,">
fin,

TOV",0.07692307692307687,40,0.25
0.5,135,TOVWANZ,0.15384615384615385,,0.0,40,0.3
0.5,135,AROUDEFGHISKEMNGPORSTOVWX1Z,0.6538461538461539,"AS kL oN ,;
ARODEFGHIGKEMNGP ORS TOV WXYZ",0.15384615384615385,40,0.35
0.5,135,BeUDE FP GHVIKEMNGE GAS TOV KZ,0.2692307692307693,PRODEFGHUIKEMN GE GEST OVW AZ,0.3846153846153846,40,0.4
0.5,135,AM Z COE EGky yh i iMG PORSTOVW AZ,0.15384615384615385,"hl hie
POCDEFGHIKEMMN GE GEST IV AZ",0.11538461538461542,40,0.45
0.5,135,POU GRVIAEMN OE GEST OVI AT,0.15384615384615385,POCDEE GIL EM INGE GES VIZ,0.23076923076923073,40,0.5
0.5,135,"\a Tar , “AM 2 A he hi ON a=—
Birk Cy i Gel EM My Ge gens IPM UL",0.0,PP DEE GEV IM NGE GES VIVA TZ,0.15384615384615385,40,0.55
0.5,135,,0.0,PP DEE GEV IM NG EGER ILIA TZ,0.11538461538461542,40,0.6
0.5,135,Fir,0.038461538461538436,,0.0,40,0.65
0.5,135,,0.0,,0.0,40,0.7
0.5,135,"RSTUVWXYZ

Oo

NOP

|

K

™

GF

Lie

ABCDE",0.0,ABCDEFGHISKLMNOPQRSTUVWXYZ,0.9615384615384616,50,0.05
0.5,135,ABCDEFGHISKLMNOPORSTUVWXYZ,0.9230769230769231,ABCDEFGHISKLMNOPQRSTUVWXYZ,0.9615384615384616,50,0.1
0.5,135,ABCDEFGHISKLMNOPORSTUVWXYZ,0.9230769230769231,ABCDEFGHISKLMNOPORSTUVWXYZ,0.9230769230769231,50,0.15
0.5,135,ABCDEFGHIGKLMNOPORS TUVWXYZ,0.8846153846153846,"GhIZKLMNO

2PORS

DIVWXYZ",0.3846153846153846,50,0.2
0.5,135,ABCDEFGHISKLMNOPORS TUVWXYZ,0.8846153846153846,ABCBEFGHIGKLMNOGPORSTUVWXYZ,0.8461538461538461,50,0.25
0.5,135,APCBEFGhISKLMNOPORSTOVWX1Z,0.7307692307692308,ARBCBEFGhIGKLMNOPORS TUVWXYZ,0.7692307692307692,50,0.3
0.5,135,AP CDEP GHISKLMNCPORS TOV WXYZ,0.6153846153846154,"APCDEPGhIGKLMNOPORS TOV WX"" Z",0.6153846153846154,50,0.35
0.5,135,APCBEPGHIsKLMNCPOKS PON WXYZ,0.5384615384615384,MP CDEP GHIGELMNOPORS PIV WZ,0.46153846153846156,50,0.4
0.5,135,PDE GhilshLMNCPOKS VON WY Z,0.2692307692307693,MPCDErGMIGKLMNCPOKS VON WZ,0.46153846153846156,50,0.45
0.5,135,POD Ghils AMINE POKI VON WX) Z,0.07692307692307687,PODER GIG MINE POKS VON WZ,0.23076923076923073,50,0.5
0.5,135,PPD rh MINEO P OKT VON NY Z,0.11538461538461542,PP ODE GIL MNO POKS VON We Z,0.2692307692307693,50,0.55
0.5,135,". : FOC AN Nyy 7
PPT AINE PINS VD A 7",0.0,"j MP7
; ) OPOKS VMs
PP chi Nh ae 4 Pe",0.0,50,0.6
0.5,135,,0.0,"VII VSSLISDISSIVISOL,",0.07692307692307687,50,0.65
0.5,135,"~ p f a7
- , 4 ‘ o, o1 oS ‘ ( a
rr. ct NOt, is d r",0.0,,0.0,50,0.7
0.5,135,ABCDEFGHIJKLMNOPORSTUVWXYZ,0.9615384615384616,ABCDEFGHISKLMNOPQRSTUVWXYZ,0.9615384615384616,60,0.05
