scale_factor,line_angle,original_ocr_text,original_accuracy,processed_ocr_text,processed_accuracy,line_period,duty_cycle
0.75,135,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,ABCDEFGHIJKLMNOPQRSTUVWX},0.9230769230769231,4,0.05
0.75,135,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,ABCDEFGHIJKLMNOPQRSTUVWX},0.9230769230769231,4,0.1
0.75,135,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,ABCDEFGHIJKLMNOPQRSTUVWX},0.9230769230769231,4,0.15
0.75,135,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,ABCDEFGHIJKLMNOPQRSTUVWX},0.9230769230769231,4,0.2
0.75,135,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,ABCDEFGHIJKLMNOPQRSTUVWX},0.9230769230769231,4,0.25
0.75,135,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,ABCDEFGHIJKLMNOPQRSTUVWX},0.9230769230769231,4,0.3
0.75,135,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,ABCDEFGHIJKLMNOPQRSTUVWX},0.9230769230769231,4,0.35
0.75,135,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,ABCDEFGHIJKLMNOPQRSTUVWX},0.9230769230769231,4,0.4
0.75,135,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,ABCDEFGHIJKLMNOPQRSTUVWX},0.9230769230769231,4,0.45
0.75,135,AoCx M?,0.11538461538461542,,0.0,4,0.5
0.75,135,AoCx M?,0.11538461538461542,,0.0,4,0.55
0.75,135,AoCx M?,0.11538461538461542,,0.0,4,0.6
0.75,135,AoCx M?,0.11538461538461542,,0.0,4,0.65
0.75,135,AoCx M?,0.11538461538461542,,0.0,4,0.7
0.75,135,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,ABCDEFGHIJKLMNOPQRS,0.7307692307692308,6,0.05
