scale_factor,line_angle,original_ocr_text,original_accuracy,processed_ocr_text,processed_accuracy,line_period,duty_cycle
0.75,120,ABCDEFGHIJKLMNOF QRSTUVWXY,0.8846153846153846,ABCDEFGHIJKLMNOP QRSTUVWX},0.8846153846153846,4,0.05
0.75,120,ABCDEFGHIJKLMNOF QRSTUVWXY,0.8846153846153846,ABCDEFGHIJKLMNOP QRSTUVWX},0.8846153846153846,4,0.1
0.75,120,ABCDEFGHIJKLMNOF QRSTUVWXY,0.8846153846153846,ABCDEFGHIJKLMNOP QRSTUVWX},0.8846153846153846,4,0.15
0.75,120,ABCDEFGHIJKLMNOF QRSTUVWXY,0.8846153846153846,ABCDEFGHIJKLMNOP QRSTUVWX},0.8846153846153846,4,0.2
0.75,120,ABCDEFGHIJKLMNOF QRSTUVWXY,0.8846153846153846,ABCDEFGHIJKLMNOP QRSTUVWX},0.8846153846153846,4,0.25
0.75,120,ABCDEFGHIJKLMNOF QRSTUVWXY,0.8846153846153846,ABCDEFGHIJKLMNOP QRSTUVWX},0.8846153846153846,4,0.3
0.75,120,ABCDEFGHIJKLMNOF QRSTUVWXY,0.8846153846153846,ABCDEFGHIJKLMNOP QRSTUVWX},0.8846153846153846,4,0.35
0.75,120,ABCDEFGHIJKLMNOF QRSTUVWXY,0.8846153846153846,ABCDEFGHIJKLMNOP QRSTUVWX},0.8846153846153846,4,0.4
0.75,120,ABCDEFGHIJKLMNOF QRSTUVWXY,0.8846153846153846,ABCDEFGHIJKLMNOP QRSTUVWX},0.8846153846153846,4,0.45
0.75,120,KSCOEF,0.11538461538461542,,0.0,4,0.5
0.75,120,KSCOEF,0.11538461538461542,,0.0,4,0.55
0.75,120,KSCOEF,0.11538461538461542,,0.0,4,0.6
0.75,120,KSCOEF,0.11538461538461542,,0.0,4,0.65
0.75,120,KSCOEF,0.11538461538461542,,0.0,4,0.7
0.75,120,ABCDEFGHiIZKLMNOPQRSTUVWXYZ,0.9230769230769231,ABCDEFGHiIK,0.34615384615384615,6,0.05
0.75,120,ABCDEFGHiIZKLMNOPQRSTUVWXYZ,0.9230769230769231,ABCDEFGHiIK,0.34615384615384615,6,0.1
0.75,120,ABCDEFGHiIZKLMNOPQRSTUVWXYZ,0.9230769230769231,ABCDEFGHiIK,0.34615384615384615,6,0.15
0.75,120,ABCDEFGHiIZKLMNOPQRSTUVWXYZ,0.9230769230769231,ABCDEFGHiIK,0.34615384615384615,6,0.2
0.75,120,ABCDEFGHiIZKLMNOPQRSTUVWXYZ,0.9230769230769231,ABCDEFGHiIK,0.34615384615384615,6,0.25
0.75,120,ABCDEFGHiIZKLMNOPQRSTUVWXYZ,0.9230769230769231,ABCDEFGHiIK,0.34615384615384615,6,0.3
0.75,120,ABCDFfGrilkiMNPORSWVWX Z,0.5384615384615384,,0.0,6,0.35
0.75,120,ABCDFfGrilkiMNPORSWVWX Z,0.5384615384615384,,0.0,6,0.4
0.75,120,ABCDFfGrilkiMNPORSWVWX Z,0.5384615384615384,,0.0,6,0.45
0.75,120,MN 3{7,0.07692307692307687,,0.0,6,0.5
0.75,120,MN 3{7,0.07692307692307687,,0.0,6,0.55
0.75,120,MN 3{7,0.07692307692307687,,0.0,6,0.6
0.75,120,MN 3{7,0.07692307692307687,,0.0,6,0.65
0.75,120,,0.0,,0.0,6,0.7
0.75,120,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,ABCDEFGHIJKLMNOPQRS,0.7307692307692308,8,0.05
0.75,120,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,ABCDEFGHIJKLMNOPQRS,0.7307692307692308,8,0.1
0.75,120,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,ABCDEFGHIJKLMNOPQRS,0.7307692307692308,8,0.15
0.75,120,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,ABCDEFGHIJKLMNOPQRS,0.7307692307692308,8,0.2
0.75,120,ABc CEFGHIJK LWNCP CF:STIJVWXYZ,0.5384615384615384,ABCCEFGHIjK WNOX,0.46153846153846156,8,0.25
0.75,120,ABc CEFGHIJK LWNCP CF:STIJVWXYZ,0.5384615384615384,ABCCEFGHIjK WNOX,0.46153846153846156,8,0.3
0.75,120,ABc CEFGHIJK LWNCP CF:STIJVWXYZ,0.5384615384615384,ABCCEFGHIjK WNOX,0.46153846153846156,8,0.35
0.75,120,48 CFT-cxij'NNCX  FJnNTKXI,0.038461538461538436,,0.0,8,0.4
0.75,120,48 CFT-cxij'NNCX  FJnNTKXI,0.038461538461538436,,0.0,8,0.45
0.75,120,'43IJ Nrs,0.11538461538461542,,0.0,8,0.5
0.75,120,'43IJ Nrs,0.11538461538461542,,0.0,8,0.55
0.75,120,'43IJ Nrs,0.11538461538461542,,0.0,8,0.6
0.75,120,,0.0,,0.0,8,0.65
0.75,120,,0.0,,0.0,8,0.7
0.75,120,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,ABCDEFGHiJKLMNOPQRS,0.6923076923076923,10,0.05
0.75,120,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,ABCDEFGHiJKLMNOPQRS,0.6923076923076923,10,0.1
0.75,120,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,ABCDEFGHiJKLMNOPQRS,0.6923076923076923,10,0.15
0.75,120,ABCDEFSHiJKLMNJPQRSTJVWNXYZ,0.8076923076923077,ABCDERSHNJKLMNJ?OR:,0.46153846153846156,10,0.2
0.75,120,ABCDEFSHiJKLMNJPQRSTJVWNXYZ,0.8076923076923077,ABCDERSHNJKLMNJ?OR:,0.46153846153846156,10,0.25
0.75,120,APCCEFEANKiMN_? R:TNXXL,0.3846153846153846,APCCEREANKLMN ?_,0.2692307692307693,10,0.3
