scale_factor,line_angle,original_ocr_text,original_accuracy,processed_ocr_text,processed_accuracy,line_period,duty_cycle
0.75,75,"ABCDE

 

‘GHUKLMNGPORSTUVWKYZ,",0.5384615384615384,"ABCDEFGHISKLMNOPORS TUVWXYZ,",0.8461538461538461,4,0.05
0.75,75,"ABCDE

 

‘GHUKLMNGPORSTUVWKYZ,",0.5384615384615384,"ABCDEFGHISKLMNOPORS TUVWXYZ,",0.8461538461538461,4,0.1
0.75,75,"ABCDE

 

‘GHUKLMNGPORSTUVWKYZ,",0.5384615384615384,"ABCDEFGHISKLMNOPORS TUVWXYZ,",0.8461538461538461,4,0.15
0.75,75,"ABCDE

 

‘GHUKLMNGPORSTUVWKYZ,",0.5384615384615384,"ABCDEFGHISKLMNOPORS TUVWXYZ,",0.8461538461538461,4,0.2
0.75,75,"ABCDE

 

‘GHUKLMNGPORSTUVWKYZ,",0.5384615384615384,"ABCDEFGHISKLMNOPORS TUVWXYZ,",0.8461538461538461,4,0.25
0.75,75,"ABCDE

 

‘GHUKLMNGPORSTUVWKYZ,",0.5384615384615384,"ABCDEFGHISKLMNOPORS TUVWXYZ,",0.8461538461538461,4,0.3
0.75,75,"ABCDE

 

‘GHUKLMNGPORSTUVWKYZ,",0.5384615384615384,"ABCDEFGHISKLMNOPORS TUVWXYZ,",0.8461538461538461,4,0.35
0.75,75,"ABCDE

 

‘GHUKLMNGPORSTUVWKYZ,",0.5384615384615384,"ABCDEFGHISKLMNOPORS TUVWXYZ,",0.8461538461538461,4,0.4
0.75,75,"ABCDE

 

‘GHUKLMNGPORSTUVWKYZ,",0.5384615384615384,"ABCDEFGHISKLMNOPORS TUVWXYZ,",0.8461538461538461,4,0.45
0.75,75,"ABCHEEAHUCLMNOR ORE RUC
ARCHER amar RAE wee",0.0,,0.0,4,0.5
0.75,75,"ABCHEEAHUCLMNOR ORE RUC
ARCHER amar RAE wee",0.0,,0.0,4,0.55
0.75,75,"ABCHEEAHUCLMNOR ORE RUC
ARCHER amar RAE wee",0.0,,0.0,4,0.6
0.75,75,"ABCHEEAHUCLMNOR ORE RUC
ARCHER amar RAE wee",0.0,,0.0,4,0.65
0.75,75,"ABCHEEAHUCLMNOR ORE RUC
ARCHER amar RAE wee",0.0,,0.0,4,0.7
0.75,75,"ABCDEFGHISKLMNOPQRS TUVWXYZ,",0.8846153846153846,"ABCDEFGHIJKLMNOPQRS TUVWXYZ,",0.9230769230769231,6,0.05
0.75,75,"ABCDEFGHISKLMNOPQRS TUVWXYZ,",0.8846153846153846,"ABCDEFGHIJKLMNOPQRS TUVWXYZ,",0.9230769230769231,6,0.1
0.75,75,"ABCDEFGHISKLMNOPQRS TUVWXYZ,",0.8846153846153846,"ABCDEFGHIJKLMNOPQRS TUVWXYZ,",0.9230769230769231,6,0.15
0.75,75,"ABCDEFGHISKLMNOPQRS TUVWXYZ,",0.8846153846153846,"ABCDEFGHIJKLMNOPQRS TUVWXYZ,",0.9230769230769231,6,0.2
0.75,75,"ABCDEFGHISKLMNOPQRS TUVWXYZ,",0.8846153846153846,"ABCDEFGHIJKLMNOPQRS TUVWXYZ,",0.9230769230769231,6,0.25
0.75,75,"ABCDEFGHISKLMNOPQRS TUVWXYZ,",0.8846153846153846,"ABCDEFGHIJKLMNOPQRS TUVWXYZ,",0.9230769230769231,6,0.3
0.75,75,"ABCDEFGHIIKLMNOPQRS TUM WXYZ,",0.8076923076923077,,0.0,6,0.35
0.75,75,"ABCDEFGHIIKLMNOPQRS TUM WXYZ,",0.8076923076923077,,0.0,6,0.4
0.75,75,"ABCDEFGHIIKLMNOPQRS TUM WXYZ,",0.8076923076923077,,0.0,6,0.45
0.75,75,,0.0,,0.0,6,0.5
0.75,75,,0.0,,0.0,6,0.55
0.75,75,,0.0,,0.0,6,0.6
0.75,75,,0.0,,0.0,6,0.65
0.75,75,"We AIAN \\\}\ Sh WA
BER Reet eee.",0.0,,0.0,6,0.7
0.75,75,ABCDEFGHIKLMNOPQRS TUVWXYZ,0.9230769230769231,"‘ABCDEFGHIZKLMNOPOQRS TUVWXYZ,",0.8076923076923077,8,0.05
0.75,75,ABCDEFGHIKLMNOPQRS TUVWXYZ,0.9230769230769231,"‘ABCDEFGHIZKLMNOPOQRS TUVWXYZ,",0.8076923076923077,8,0.1
0.75,75,ABCDEFGHIKLMNOPQRS TUVWXYZ,0.9230769230769231,"‘ABCDEFGHIZKLMNOPOQRS TUVWXYZ,",0.8076923076923077,8,0.15
0.75,75,ABCDEFGHIKLMNOPQRS TUVWXYZ,0.9230769230769231,"‘ABCDEFGHIZKLMNOPOQRS TUVWXYZ,",0.8076923076923077,8,0.2
0.75,75,"ABCDE

 

GHUKLIVNOPORS TUVWXYZ,",0.5384615384615384,"ABCDEFCHUKLMNORORS TAVWX72,",0.6153846153846154,8,0.25
0.75,75,"ABCDE

 

GHUKLIVNOPORS TUVWXYZ,",0.5384615384615384,"ABCDEFCHUKLMNORORS TAVWX72,",0.6153846153846154,8,0.3
0.75,75,"ABCDE

 

GHUKLIVNOPORS TUVWXYZ,",0.5384615384615384,"ABCDEFCHUKLMNORORS TAVWX72,",0.6153846153846154,8,0.35
0.75,75,"ABCDECCHSELWINCRORS TUX 72,",0.3846153846153846,,0.0,8,0.4
0.75,75,"ABCDECCHSELWINCRORS TUX 72,",0.3846153846153846,,0.0,8,0.45
0.75,75,LBEREEISLUN ROBE Ae,0.23076923076923073,,0.0,8,0.5
0.75,75,LBEREEISLUN ROBE Ae,0.23076923076923073,,0.0,8,0.55
0.75,75,LBEREEISLUN ROBE Ae,0.23076923076923073,,0.0,8,0.6
0.75,75,,0.0,,0.0,8,0.65
0.75,75,,0.0,,0.0,8,0.7
0.75,75,ABCDEFGHIJKLMNOPQRS TUVWXYZ,0.9615384615384616,"/ABCDEFGHIJKLMNOPQRS TUVWXYZ,",0.8846153846153846,10,0.05
0.75,75,ABCDEFGHIJKLMNOPQRS TUVWXYZ,0.9615384615384616,"/ABCDEFGHIJKLMNOPQRS TUVWXYZ,",0.8846153846153846,10,0.1
0.75,75,ABCDEFGHIJKLMNOPQRS TUVWXYZ,0.9615384615384616,"/ABCDEFGHIJKLMNOPQRS TUVWXYZ,",0.8846153846153846,10,0.15
