scale_factor,line_angle,original_ocr_text,original_accuracy,processed_ocr_text,processed_accuracy,line_period,duty_cycle
0.75,165,,0.0,ABCDEFGHIIKLMNOPQRSTUVWXYZ,0.9615384615384616,4,0.05
0.75,165,,0.0,ABCDEFGHIIKLMNOPQRSTUVWXYZ,0.9615384615384616,4,0.1
0.75,165,,0.0,ABCDEFGHIIKLMNOPQRSTUVWXYZ,0.9615384615384616,4,0.15
0.75,165,,0.0,ABCDEFGHIIKLMNOPQRSTUVWXYZ,0.9615384615384616,4,0.2
0.75,165,,0.0,ABCDEFGHIIKLMNOPQRSTUVWXYZ,0.9615384615384616,4,0.25
0.75,165,,0.0,ABCDEFGHIIKLMNOPQRSTUVWXYZ,0.9615384615384616,4,0.3
0.75,165,,0.0,ABCDEFGHIIKLMNOPQRSTUVWXYZ,0.9615384615384616,4,0.35
0.75,165,,0.0,ABCDEFGHIIKLMNOPQRSTUVWXYZ,0.9615384615384616,4,0.4
0.75,165,,0.0,ABCDEFGHIIKLMNOPQRSTUVWXYZ,0.9615384615384616,4,0.45
0.75,165,,0.0,"AgCnE

 

KLMNOPORSTUVWXYZ",0.6923076923076923,4,0.5
0.75,165,,0.0,"AgCnE

 

KLMNOPORSTUVWXYZ",0.6923076923076923,4,0.55
0.75,165,,0.0,"AgCnE

 

KLMNOPORSTUVWXYZ",0.6923076923076923,4,0.6
0.75,165,,0.0,"AgCnE

 

KLMNOPORSTUVWXYZ",0.6923076923076923,4,0.65
0.75,165,,0.0,"AgCnE

 

KLMNOPORSTUVWXYZ",0.6923076923076923,4,0.7
0.75,165,,0.0,ABCDEFGHIIKLMNOPQRS TUVWXYZ,0.9230769230769231,6,0.05
0.75,165,,0.0,ABCDEFGHIIKLMNOPQRS TUVWXYZ,0.9230769230769231,6,0.1
0.75,165,,0.0,ABCDEFGHIIKLMNOPQRS TUVWXYZ,0.9230769230769231,6,0.15
0.75,165,,0.0,ABCDEFGHIIKLMNOPQRS TUVWXYZ,0.9230769230769231,6,0.2
0.75,165,,0.0,ABCDEFGHIIKLMNOPQRS TUVWXYZ,0.9230769230769231,6,0.25
0.75,165,,0.0,ABCDEFGHIIKLMNOPQRS TUVWXYZ,0.9230769230769231,6,0.3
0.75,165,,0.0,ABCDEFGHIJKLMNOPORS TUVWXYZ,0.9230769230769231,6,0.35
0.75,165,,0.0,ABCDEFGHIJKLMNOPORS TUVWXYZ,0.9230769230769231,6,0.4
0.75,165,,0.0,ABCDEFGHIJKLMNOPORS TUVWXYZ,0.9230769230769231,6,0.45
0.75,165,,0.0,,0.0,6,0.5
0.75,165,,0.0,,0.0,6,0.55
0.75,165,,0.0,,0.0,6,0.6
0.75,165,,0.0,,0.0,6,0.65
0.75,165,,0.0,,0.0,6,0.7
0.75,165,IKLMNOPQRS TUVWXYZ,0.6153846153846154,‘ABCDEFGHIIKLMNOPQRSTUVWXYZ,0.9230769230769231,8,0.05
0.75,165,IKLMNOPQRS TUVWXYZ,0.6153846153846154,‘ABCDEFGHIIKLMNOPQRSTUVWXYZ,0.9230769230769231,8,0.1
0.75,165,IKLMNOPQRS TUVWXYZ,0.6153846153846154,‘ABCDEFGHIIKLMNOPQRSTUVWXYZ,0.9230769230769231,8,0.15
0.75,165,IKLMNOPQRS TUVWXYZ,0.6153846153846154,‘ABCDEFGHIIKLMNOPQRSTUVWXYZ,0.9230769230769231,8,0.2
0.75,165,,0.0,"ABCNE!

 

liiKLMNOPQRSTUVWXYZ",0.6153846153846154,8,0.25
0.75,165,,0.0,"ABCNE!

 

liiKLMNOPQRSTUVWXYZ",0.6153846153846154,8,0.3
0.75,165,,0.0,"ABCNE!

 

liiKLMNOPQRSTUVWXYZ",0.6153846153846154,8,0.35
0.75,165,"OPORST
TONANXYZ.",0.15384615384615385,,0.0,8,0.4
0.75,165,"OPORST
TONANXYZ.",0.15384615384615385,,0.0,8,0.45
0.75,165,,0.0,,0.0,8,0.5
0.75,165,,0.0,,0.0,8,0.55
0.75,165,,0.0,,0.0,8,0.6
0.75,165,,0.0,,0.0,8,0.65
0.75,165,,0.0,,0.0,8,0.7
0.75,165,ABCDEFGHISKLMNOPORSTUVWXYZ,0.9230769230769231,"ABC

 

EFGHIJKLMNOPQRSTUVWXYZ",0.8076923076923077,10,0.05
0.75,165,ABCDEFGHISKLMNOPORSTUVWXYZ,0.9230769230769231,"ABC

 

EFGHIJKLMNOPQRSTUVWXYZ",0.8076923076923077,10,0.1
0.75,165,ABCDEFGHISKLMNOPORSTUVWXYZ,0.9230769230769231,"ABC

 

EFGHIJKLMNOPQRSTUVWXYZ",0.8076923076923077,10,0.15
0.75,165,,0.0,"CDEFGHIIKLMNOPORSTUVWXYZ,",0.8076923076923077,10,0.2
0.75,165,,0.0,"CDEFGHIIKLMNOPORSTUVWXYZ,",0.8076923076923077,10,0.25
0.75,165,IRSETUV WXYZ,0.3076923076923077,ABCDEFCHID,0.3076923076923077,10,0.3
0.75,165,IRSETUV WXYZ,0.3076923076923077,ABCDEFCHID,0.3076923076923077,10,0.35
0.75,165,"ABCDEFCHI,
HIKLMINOPG

QPURSTUN

WXYZ",0.46153846153846156,,0.0,10,0.4
0.75,165,"ABCDEFCHI,
HIKLMINOPG

QPURSTUN

WXYZ",0.46153846153846156,,0.0,10,0.45
0.75,165,"NBCDEEL

 

IE LNIIOP GPS TAG AVZ",0.15384615384615385,,0.0,10,0.5
0.75,165,"NBCDEEL

 

IE LNIIOP GPS TAG AVZ",0.15384615384615385,,0.0,10,0.55
0.75,165,,0.0,a,0.0,10,0.6
0.75,165,,0.0,a,0.0,10,0.65
0.75,165,,0.0,,0.0,10,0.7
0.75,165,ABCDEFGHIIKLMNOPQRSTUVWXYZ,0.9615384615384616,ABCDEFGHIIKLMNOPQRSTUVWXYZ,0.9615384615384616,12,0.05
0.75,165,ABCDEFGHIIKLMNOPQRSTUVWXYZ,0.9615384615384616,ABCDEFGHIIKLMNOPQRSTUVWXYZ,0.9615384615384616,12,0.1
0.75,165,ABCDEFGHIIKLMNOPQRSTUVWXYZ,0.9615384615384616,ABCDEFGHIIKLMNOPQRSTUVWXYZ,0.9615384615384616,12,0.15
0.75,165,IRSTUVWXYZ,0.3846153846153846,ABCDEFGHIIKLMNOPQRSTUVWXYZ,0.9615384615384616,12,0.2
0.75,165,ABCDEFGHIIKLIINOPORS TUVWXYZ,0.8076923076923077,ABEDEFGHIT RSTUWIYZ,0.5769230769230769,12,0.25
0.75,165,ABCDEFGHIIKLIINOPORS TUVWXYZ,0.8076923076923077,ABEDEFGHIT RSTUWIYZ,0.5769230769230769,12,0.3
0.75,165,ABCUFFGHIIKEMNOPOR STOVE Z.,0.5769230769230769,—=,0.0,12,0.35
0.75,165,ABCUFFGHIIKEMNOPOR STOVE Z.,0.5769230769230769,—=,0.0,12,0.4
0.75,165,"Bee
CUFF!

 

INCPORS
ToviNng
DZ",0.07692307692307687,=,0.0,12,0.45
0.75,165,BEERS AIM PERI,0.1923076923076923,—,0.0,12,0.5
0.75,165,BEERS AIM PERI,0.1923076923076923,—,0.0,12,0.55
0.75,165,,0.0,—=,0.0,12,0.6
0.75,165,,0.0,—=,0.0,12,0.65
0.75,165,,0.0,,0.0,12,0.7
0.75,165,ABCDEFGHIJKLMNOPQRS TUVWXYZ.,0.9230769230769231,"ABCDEFGHIJKLMNOPQRS TUVWXYZ,",0.9230769230769231,14,0.05
0.75,165,ABCDEFGHIJKLMNOPQRS TUVWXYZ.,0.9230769230769231,"ABCDEFGHIJKLMNOPQRS TUVWXYZ,",0.9230769230769231,14,0.1
0.75,165,ABCDEFGHIJKLMNOPQRS TUVWXYZ.,0.9230769230769231,"‘ABCDEFGHIUKLMNOPQRS TUVWXYZ,",0.8461538461538461,14,0.15
0.75,165,ABCDEFGHIJKLMNOPQRS TUVWXYZ.,0.9230769230769231,"‘ABCDEFGHIUKLMNOPQRS TUVWXYZ,",0.8461538461538461,14,0.2
0.75,165,‘DEF CHIUKIMNOPQRS TUVWXYZ.,0.6538461538461539,"ABCDEFOHIIK

 

JOP QRS TUWWXYZ",0.5769230769230769,14,0.25
0.75,165,ABCUEFCHIIKIMIWOPQRS TUVWXYZ.,0.6923076923076923,"ABCVEFCH IKI. MNOPQRSTUNWAY7,",0.5769230769230769,14,0.3
0.75,165,ABCUEFCHIIKIMIWOPQRS TUVWXYZ.,0.6923076923076923,"ABCVEFCH IKI. MNOPQRSTUNWAY7,",0.5769230769230769,14,0.35
0.75,165,DSCUEE SHIIKLMNOPQRS [UM WAYZ.,0.5,,0.0,14,0.4
0.75,165,DOCOFECHIIKLMNOP QRS [UM WAYZ.,0.46153846153846156,,0.0,14,0.45
0.75,165,,0.0,,0.0,14,0.5
0.75,165,,0.0,,0.0,14,0.55
0.75,165,,0.0,,0.0,14,0.6
0.75,165,,0.0,,0.0,14,0.65
0.75,165,,0.0,,0.0,14,0.7
0.75,165,ABCDEFGHISKLMNOPQRSTUVWXYZ,0.9615384615384616,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,16,0.05
0.75,165,ABCDEFGHISKLMNOPQRSTUVWXYZ,0.9615384615384616,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,16,0.1
0.75,165,ABCDEFGHIIKLMNOPQRSTUVWXYZ,0.9615384615384616,"‘ABCDEFGHIIKLMNOPORSTUVWXYZ,",0.8461538461538461,16,0.15
0.75,165,ABCDEFGHISIKLMNOPQRSTUVWXYZ,0.9230769230769231,"ABCDEFC!

 

IKLMNOPORSTUVWiC",0.5384615384615384,16,0.2
0.75,165,"ABCUEF!

 

HiSKLMNGPORSTOVWXYZ",0.5384615384615384,"ABCvEFC!

 

KLMNOPORSTUVWHZ",0.5769230769230769,16,0.25
0.75,165,"ABCUEF!

 

HiSKLMNGPORSTOVWXYZ",0.5384615384615384,"ABCvEFC!

 

KLMNOPORSTUVWHZ",0.5769230769230769,16,0.3
0.75,165,ASCUEFCHISKLMNGPORSTUVWXY,0.7307692307692308,,0.0,16,0.35
0.75,165,DOCUEFCMIOKLMNGPORSTUVWY,0.6153846153846154,,0.0,16,0.4
0.75,165,DD COEF CMGRL MNSPOR STUY WYN a,0.2692307692307693,,0.0,16,0.45
0.75,165,,0.0,,0.0,16,0.5
0.75,165,,0.0,,0.0,16,0.55
0.75,165,,0.0,,0.0,16,0.6
0.75,165,,0.0,,0.0,16,0.65
0.75,165,,0.0,,0.0,16,0.7
