scale_factor,contrast_ratio,original_ocr_text,original_accuracy,processed_ocr_text,processed_accuracy,text_color_R,text_color_G,text_color_B,background_color_R,background_color_G,background_color_B
0.75,9.573809932278131,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,0,0,0,175,175,175
0.75,8.73890324664774,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,15,15,15,175,175,175
0.75,7.514518736515215,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,31,31,31,175,175,175
0.75,6.103718862239924,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,47,47,47,175,175,175
0.75,4.800992711855222,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,63,63,63,175,175,175
0.75,3.734301617684453,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,79,79,79,175,175,175
0.75,2.9111162973826197,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,95,95,95,175,175,175
0.75,2.290814431682573,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,111,111,111,175,175,175
0.75,1.8254551881496774,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,127,127,127,175,175,175
0.75,1.4743577048120875,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,143,143,143,175,175,175
0.75,1.2066690242902467,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,159,159,159,175,175,175
0.75,1.0,,0.0,,0.0,175,175,175,175,175,175
0.75,1.1928283039738252,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,191,191,191,175,175,175
0.75,1.40792515506876,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,207,207,207,175,175,175
0.75,1.6459704430026092,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,223,223,223,175,175,175
0.75,1.9076150872295672,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,Ure aetna ogee,0.0,239,239,239,175,175,175
0.75,2.193484114323017,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,Preiser Neo ge SULLA,0.07692307692307687,255,255,255,175,175,175
