scale_factor,contrast_ratio,original_ocr_text,original_accuracy,processed_ocr_text,processed_accuracy,text_color_R,text_color_G,text_color_B,background_color_R,background_color_G,background_color_B
0.75,1.568520790088416,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,0,0,0,47,47,47
0.75,1.4317342334867573,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,15,15,15,47,47,47
0.75,1.231137754886299,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,31,31,31,47,47,47
0.75,1.0,,0.0,,0.0,47,47,47,47,47,47
0.75,1.2713451630884265,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,63,63,63,47,47,47
0.75,1.634500768051159,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,79,79,79,47,47,47
0.75,2.0966935837389142,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,95,95,95,47,47,47
0.75,2.6644318185811424,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,111,111,111,47,47,47
0.75,3.3436695142469044,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,127,127,127,47,47,47
0.75,4.139917227900854,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,143,143,143,47,47,47
0.75,5.05832066571037,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,159,159,159,47,47,47
0.75,6.103718862239924,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,175,175,175,47,47,47
0.75,7.280688618378694,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,Peete sae moreno,0.0,191,191,191,47,47,47
0.75,8.59357932561526,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,Togo,0.038461538461538436,207,207,207,47,47,47
0.75,10.046540839644429,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,Urea ern neo ge UNC Ne4,0.0,223,223,223,47,47,47
0.75,11.643546189816567,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,Urea zert Neo ge SUL,0.07692307692307687,239,239,239,47,47,47
0.75,13.38841036261703,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,Preiser Ne ogee,0.038461538461538436,255,255,255,47,47,47
