scale_factor,contrast_ratio,original_ocr_text,original_accuracy,processed_ocr_text,processed_accuracy,text_color_R,text_color_G,text_color_B,background_color_R,background_color_G,background_color_B
0.75,11.419911464087086,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,0,0,0,191,191,191
0.75,10.424011138290178,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,15,15,15,191,191,191
0.75,8.963530639656975,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,31,31,31,191,191,191
0.75,7.280688618378694,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,47,47,47,191,191,191
0.75,5.726759993872959,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,63,63,63,191,191,191
0.75,4.454380665149258,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,79,79,79,191,191,191
0.75,3.472461915677472,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,95,95,95,191,191,191
0.75,2.7325482932626857,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,111,111,111,191,191,191
0.75,2.1774546160607997,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,127,127,127,191,191,191
0.75,1.758655600481744,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,143,143,143,191,191,191
0.75,1.4393489657018854,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,159,159,159,191,191,191
0.75,1.1928283039738252,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,175,175,175,191,191,191
0.75,1.0,,0.0,,0.0,191,191,191,191,191,191
0.75,1.1803250730875134,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,207,207,207,191,191,191
0.75,1.379888821818842,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,223,223,223,191,191,191
0.75,1.5992369403664208,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,Tego Raed,0.038461538461538436,239,239,239,191,191,191
0.75,1.8388934157712187,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,Ure azer Ne oge LSU e4,0.07692307692307687,255,255,255,191,191,191
