scale_factor,contrast_ratio,original_ocr_text,original_accuracy,processed_ocr_text,processed_accuracy,text_color_R,text_color_G,text_color_B,background_color_R,background_color_G,background_color_B
0.75,5.244615148281104,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,0,0,0,127,127,127
0.75,4.78724610901333,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,15,15,15,127,127,127
0.75,4.116517778851695,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,31,31,31,127,127,127
0.75,3.3436695142469044,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,47,47,47,127,127,127
0.75,2.63002496200502,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,63,63,63,127,127,127
0.75,2.045682436866404,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,79,79,79,127,127,127
0.75,1.5947344620019912,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,95,95,95,127,127,127
0.75,1.2549277826998284,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,111,111,111,127,127,127
0.75,1.0,,0.0,,0.0,127,127,127,127,127,127
0.75,1.2381358894057115,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,143,143,143,127,127,127
0.75,1.512805211208099,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,159,159,159,127,127,127
0.75,1.8254551881496774,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,175,175,175,127,127,127
0.75,2.1774546160607997,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,191,191,191,127,127,127
0.75,2.5701042788467072,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,207,207,207,127,127,127
0.75,3.0046452847201364,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,Ne geSuLAed,0.07692307692307687,223,223,223,127,127,127
0.75,3.482265857975813,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,Ure azer Nog UNNL4,0.07692307692307687,239,239,239,127,127,127
0.75,4.0041069566148515,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,‘ABCDEFGHIJKLMNOPQRSTUVWXYZ,0.9615384615384616,255,255,255,127,127,127
