scale_factor,contrast_ratio,original_ocr_text,original_accuracy,processed_ocr_text,processed_accuracy,text_color_R,text_color_G,text_color_B,background_color_R,background_color_G,background_color_B
0.75,13.479207833501523,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,"‘ABCDEFGHIJKLMNOPQRSTUVWXYZ,",0.9230769230769231,0,0,0,207,207,207
0.75,12.303721708667407,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,ABCDEFGHIJKLMNOPQRSTUVWXYZ.,0.9615384615384616,15,15,15,207,207,207
0.75,10.579879957375285,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,31,31,31,207,207,207
0.75,8.59357932561526,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,47,47,47,207,207,207
0.75,6.759438408322749,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,63,63,63,207,207,207
0.75,5.257617184151904,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,79,79,79,207,207,207
0.75,4.098633864415619,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,95,95,95,207,207,207
0.75,3.2252952639604393,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,111,111,111,207,207,207
0.75,2.5701042788467072,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,127,127,127,207,207,207
0.75,2.0757853001743793,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,143,143,143,207,207,207
0.75,1.6988996731405148,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,159,159,159,207,207,207
0.75,1.40792515506876,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,175,175,175,207,207,207
0.75,1.1803250730875134,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,191,191,191,207,207,207
0.75,1.0,,0.0,,0.0,207,207,207,207,207,207
0.75,1.169075243152555,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,223,223,223,207,207,207
0.75,1.3549122837686662,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,239,239,239,207,207,207
0.75,1.5579550563651177,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,Urea zert NNO o gee,0.07692307692307687,255,255,255,207,207,207
