scale_factor,contrast_ratio,original_ocr_text,original_accuracy,processed_ocr_text,processed_accuracy,text_color_R,text_color_G,text_color_B,background_color_R,background_color_G,background_color_B
0.75,15.758208175454618,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,‘ABCDEFGHIJKLMNOPQRSTUVWXYZ_,0.9230769230769231,0,0,0,223,223,223
0.75,14.38397644824172,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,"‘ABCDEFGHIJKLMNOPQRSTUVWXYZ,",0.9230769230769231,15,15,15,223,223,223
0.75,12.368675733693355,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,"‘ABCDEFGHIJKLMNOPQRSTUVWXYZ,",0.9230769230769231,31,31,31,223,223,223
0.75,10.046540839644429,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,"‘ABCDEFGHIJKLMNOPQRSTUVWXYZ,",0.9230769230769231,47,47,47,223,223,223
0.75,7.902292100784638,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,‘ABCDEFGHIJKLMNOPQRSTUVWXYZ_,0.9230769230769231,63,63,63,223,223,223
0.75,6.146550087965439,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,‘ABCDEFGHIJKLMNOPQRSTUVWXYZ.,0.9230769230769231,79,79,79,223,223,223
0.75,4.791611381634986,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,ABCDEFGHIIKLMNOPQRSTUVWXYZ.,0.9230769230769231,95,95,95,223,223,223
0.75,3.7706128449533347,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,111,111,111,223,223,223
0.75,3.0046452847201364,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,127,127,127,223,223,223
0.75,2.426749204533862,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,143,143,143,223,223,223
0.75,1.9861415484685436,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,159,159,159,223,223,223
0.75,1.6459704430026092,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,175,175,175,223,223,223
0.75,1.379888821818842,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,191,191,191,223,223,223
0.75,1.169075243152555,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,207,207,207,223,223,223
0.75,1.0,,0.0,,0.0,223,223,223,223,223,223
0.75,1.1589607184863302,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,239,239,239,223,223,223
0.75,1.3326388232838635,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,Urea zert nome UAE e4,0.038461538461538436,255,255,255,223,223,223
