scale_factor,contrast_ratio,original_ocr_text,original_accuracy,processed_ocr_text,processed_accuracy,text_color_R,text_color_G,text_color_B,background_color_R,background_color_G,background_color_B
0.75,7.934081127100591,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,0,0,0,159,159,159
0.75,7.2421708610510604,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,15,15,15,159,159,159
0.75,6.227489547877634,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,31,31,31,159,159,159
0.75,5.05832066571037,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,47,47,47,159,159,159
0.75,3.9787154681285766,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,63,63,63,159,159,159
0.75,3.0947190509683793,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,79,79,79,159,159,159
0.75,2.4125226046097565,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,95,95,95,159,159,159
0.75,1.8984612893581252,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,111,111,111,159,159,159
0.75,1.512805211208099,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,127,127,127,159,159,159
0.75,1.2218410145062713,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,143,143,143,159,159,159
0.75,1.0,,0.0,,0.0,159,159,159,159,159,159
0.75,1.2066690242902467,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,175,175,175,159,159,159
0.75,1.4393489657018854,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,191,191,191,159,159,159
0.75,1.6988996731405148,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,207,207,207,159,159,159
0.75,1.9861415484685436,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,KLMNOPQR,0.3076923076923077,223,223,223,159,159,159
0.75,2.3018600360286556,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,Preiser Neo ge SUN,0.07692307692307687,239,239,239,159,159,159
0.75,2.646809336026311,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,Ure azert Na oge SUC L4,0.07692307692307687,255,255,255,159,159,159
