scale_factor,contrast_ratio,original_ocr_text,original_accuracy,processed_ocr_text,processed_accuracy,text_color_R,text_color_G,text_color_B,background_color_R,background_color_G,background_color_B
0.75,1.0955390696138745,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,0,0,0,15,15,15
0.75,1.0,,0.0,,0.0,15,15,15,15,15,15
0.75,1.1629358516577897,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,31,31,31,15,15,15
0.75,1.4317342334867573,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,47,47,47,15,15,15
0.75,1.8202283925715046,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,63,63,63,15,15,15
0.75,2.340170704279242,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,79,79,79,15,15,15
0.75,3.0019079809710365,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,95,95,95,15,15,15
0.75,3.8147582474539985,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,111,111,111,15,15,15
0.75,4.78724610901333,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,127,127,127,15,15,15
0.75,5.92726121898725,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,143,143,143,15,15,15
0.75,7.2421708610510604,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,159,159,159,15,15,15
0.75,8.73890324664774,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,175,175,175,15,15,15
0.75,10.424011138290178,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,Ty Mogens,0.038461538461538436,191,191,191,15,15,15
0.75,12.303721708667407,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,Pore erm ose SUN ed,0.07692307692307687,207,207,207,15,15,15
0.75,14.38397644824172,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,PU reiaerr Nog UEe4,0.07692307692307687,223,223,223,15,15,15
0.75,16.670463679144675,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,Urea er Nog,0.038461538461538436,239,239,239,15,15,15
0.75,19.168645448127652,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,rot ager Neo geUCe4,0.07692307692307687,255,255,255,15,15,15
