scale_factor,contrast_ratio,original_ocr_text,original_accuracy,processed_ocr_text,processed_accuracy,text_color_R,text_color_G,text_color_B,background_color_R,background_color_G,background_color_B
0.75,3.288707476539474,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,0,0,0,95,95,95
0.75,3.0019079809710365,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,15,15,15,95,95,95
0.75,2.581318631368835,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,31,31,31,95,95,95
0.75,2.0966935837389142,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,47,47,47,95,95,95
0.75,1.6491930316118897,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,63,63,63,95,95,95
0.75,1.2827730795372063,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,79,79,79,95,95,95
0.75,1.0,,0.0,,0.0,95,95,95,95,95,95
0.75,1.2707778758161756,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,111,111,111,95,95,95
0.75,1.5947344620019912,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,127,127,127,95,95,95
0.75,1.9744979714767743,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,143,143,143,95,95,95
0.75,2.4125226046097565,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,159,159,159,95,95,95
0.75,2.9111162973826197,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,175,175,175,95,95,95
0.75,3.472461915677472,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,191,191,191,95,95,95
0.75,4.098633864415619,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,eee my Nocera,0.038461538461538436,207,207,207,95,95,95
0.75,4.791611381634986,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,Pore ser moa aa ed,0.0,223,223,223,95,95,95
0.75,5.5532893695669605,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,Urea er Neo ge SUC,0.07692307692307687,239,239,239,95,95,95
0.75,6.385487353255615,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,Preiser nego L4,0.0,255,255,255,95,95,95
