scale_factor,contrast_ratio,original_ocr_text,original_accuracy,processed_ocr_text,processed_accuracy,text_color_R,text_color_G,text_color_B,background_color_R,background_color_G,background_color_B
0.75,18.263144269082044,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,"‘ABCDEFGHIJKLMNOPQRSTUVWXYZ,",0.9230769230769231,0,0,0,239,239,239
0.75,16.670463679144675,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,"ABCDEFGHIJKLMNOPQRSTUVWXYZ,",0.9615384615384616,15,15,15,239,239,239
0.75,14.334809315045687,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,"‘ABCDEFGHIJKLMNOPQRSTUVWXYZ,",0.9230769230769231,31,31,31,239,239,239
0.75,11.643546189816567,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,"‘ABCDEFGHIJKLMNOPQRSTUVWXYZ,",0.9230769230769231,47,47,47,239,239,239
0.75,9.158446130814214,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,"‘ABCDEFGHIJKLMNOPQRSTUVWXYZ,",0.9230769230769231,63,63,63,239,239,239
0.75,7.123610106160641,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,ABCDEFGHIJKLMNOPQRSTUVWXYZ_,0.9615384615384616,79,79,79,239,239,239
0.75,5.5532893695669605,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,"‘ABCDEFGHIJKLMNOPQRSTUVWXYZ,",0.9230769230769231,95,95,95,239,239,239
0.75,4.369992171920902,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,‘ABCDEFGHIJKLMNOPQRSTUVWXYZ_,0.9230769230769231,111,111,111,239,239,239
0.75,3.482265857975813,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,"‘ABCDEFGHIJKLMNOPQRSTUVWXYZ,",0.9230769230769231,127,127,127,239,239,239
0.75,2.812507001672695,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,"‘ABCDEFGHIJKLMNOPQRSTUVWXYZ,",0.9230769230769231,143,143,143,239,239,239
0.75,2.3018600360286556,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,"‘ABCDEFGHIJKLMNOPQRSTUVWXYZ,",0.9230769230769231,159,159,159,239,239,239
0.75,1.9076150872295672,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,‘ABCDEFGHIJKLMNOPQRSTUVWXYZ_,0.9230769230769231,175,175,175,239,239,239
0.75,1.5992369403664208,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,191,191,191,239,239,239
0.75,1.3549122837686662,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,207,207,207,239,239,239
0.75,1.1589607184863302,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,,0.0,223,223,223,239,239,239
0.75,1.0,,0.0,,0.0,239,239,239,239,239,239
0.75,1.1498567656584315,ABCDEFGHIJKLMNOPQRSTUVWXYZ,1.0,‘ABCDEFGHIJKLMNOPQRSTUVWXYZ.,0.9230769230769231,255,255,255,239,239,239
