participant_id,time,period,duty,angle,font_size,text,response_text
りょ　　や,949,4.0,0.0,120.0,16.0,FRIEND,htre
りょ　　や,1046,4.0,0.0,180.0,16.0,JACKET,hter
りょ　　や,1352,4.0,0.0,90.0,16.0,OFFICE,gsegrser
りょ　　や,1180,4.0,0.0,90.0,16.0,QUOTES,juyhrtg
りょ　　や,1239,4.0,0.0,120.0,16.0,MOTHER,kiujyhtgr
りょ　　や,1391,4.0,0.0,75.0,16.0,WARMTH,juyhtgr
りょ　　や,1369,4.0,0.0,180.0,16.0,THIRST,swdefrg
りょ　　や,859,4.0,0.0,75.0,16.0,VISION,juyhtg
